"gene","best_annot","dummy_name","GO"
"ACOX1","ACOX1","ACOX1","GO:0006625;GO:0006091;GO:0009062;GO:0033540;GO:0050665;GO:0055088;GO:0019395;GO:0036109;GO:0006629;GO:0007283;GO:0000038;GO:0006693;GO:0019216"
"ACOX2","ACOX2","ACOX2","GO:0033540;GO:0006625;GO:0006699;GO:0000038;GO:0010942;GO:1902884;GO:0055088"
"ACOX3","ACOX3","ACOX3","GO:0033540;GO:0055088;GO:0006625"
"ACP1","ACP1","ACP1","GO:0035335"
"ACP2","ACP2","ACP2","GO:0016311;GO:0007040"
"LOC114002566","ACP2","ACP2_pp_1","GO:0016311;GO:0007040"
"ACP5","ACP5","ACP5","GO:0001503;GO:0016311;GO:0045453;GO:0006771"
"ACP6","ACP6","ACP6","GO:0002244;GO:0016311;GO:2001311;GO:0006654;GO:0006644"
"LOC114002564","ACPP","ACPP","unknown"
"LOC113984045","ACR","ACR_ah_6","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC114000677","ACR","ACR_ah_13","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113994817","ACR","ACR_ah_10","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113983206","ACR","ACR_ah_4","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113983201","ACR","ACR_ah_5","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113994818","ACR","ACR_ah_11","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113994811","ACR","ACR_ah_8","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113987538","ACR","ACR_ah_1","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC114000678","ACR","ACR_ah_12","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113994810","ACR","ACR_ah_9","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113982194","ACR","ACR_ah_19","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113982195","ACR","ACR_ah_18","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
"LOC113985504","ACR","ACR_ah_7","GO:0007338;GO:0007340;GO:0048545;GO:0007341;GO:0007190;GO:0002077;GO:0007339"
