"pfil_name","best_annot","dummy_name","GO"
"ABCB9","ABCB9","ABCB9","GO:0015433;GO:0002474;GO:0042803;GO:0019885;GO:0015833;GO:0042288;GO:0005515;GO:0046978;GO:0042626;GO:0005765;GO:0016021;GO:0055085;GO:0015031;GO:0015440;GO:0005524;GO:0030176;GO:0043231;GO:0005764;GO:0042824;GO:0022857;GO:0016887;GO:0005783;GO:0005769"
"ABCC10","ABCC1","ABCC1_ah_3","GO:0005886;GO:0015562;GO:0042910;GO:0046943;GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0016323;GO:0045332;GO:0034634;GO:0140359;GO:0042493;GO:0008559;GO:0055085;GO:0071716;GO:0016328;GO:0016887;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070062;GO:0016020;GO:0016324;GO:0070633;GO:0006691;GO:0005524;GO:0034040;GO:0042626;GO:0015431;GO:0009925;GO:0042908;GO:0015420;GO:0005887"
"LOC114000059","ABCC1","ABCC1_ah_1","GO:0005886;GO:0015562;GO:0042910;GO:0046943;GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0016323;GO:0045332;GO:0034634;GO:0140359;GO:0042493;GO:0008559;GO:0055085;GO:0071716;GO:0016328;GO:0016887;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070062;GO:0016020;GO:0016324;GO:0070633;GO:0006691;GO:0005524;GO:0034040;GO:0042626;GO:0015431;GO:0009925;GO:0042908;GO:0015420;GO:0005887"
"LOC113982130","ABCC1","ABCC1_ah_2","GO:0005886;GO:0015562;GO:0042910;GO:0046943;GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0016323;GO:0045332;GO:0034634;GO:0140359;GO:0042493;GO:0008559;GO:0055085;GO:0071716;GO:0016328;GO:0016887;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070062;GO:0016020;GO:0016324;GO:0070633;GO:0006691;GO:0005524;GO:0034040;GO:0042626;GO:0015431;GO:0009925;GO:0042908;GO:0015420;GO:0005887"
"ABCC2","ABCC2","ABCC2","GO:1990962;GO:0015694;GO:0032355;GO:0016324;GO:0030644;GO:0031427;GO:0070633;GO:0019904;GO:0016020;GO:0071356;GO:0055085;GO:0043627;GO:0042626;GO:0070327;GO:0016887;GO:0009986;GO:0071354;GO:0071222;GO:0046685;GO:0046618;GO:0033762;GO:0071549;GO:0035690;GO:0015723;GO:0150104;GO:0015721;GO:1904486;GO:0038183;GO:0071347;GO:1990961;GO:0015732;GO:0120188;GO:0015722;GO:0005886;GO:0042178;GO:0046581;GO:0005887;GO:0071716;GO:0010629;GO:0005515;GO:0015127;GO:0097327;GO:0007565;GO:0008559;GO:0042910;GO:0009408;GO:0008514;GO:0006954;GO:0031526;GO:0046691;GO:0006855;GO:0005524;GO:1901086;GO:0006979"
"ABCC3","ABCC3","ABCC3","GO:0015722;GO:0098656;GO:0055085;GO:0015432;GO:0015721;GO:0150104;GO:0008559;GO:0015779;GO:0016020;GO:0015431;GO:0005524;GO:0071714;GO:0042910;GO:0015164;GO:0006855;GO:0005886;GO:0016021;GO:0071716;GO:0042626;GO:0042908;GO:0016887"
"ABCC4","ABCC4","ABCC4","GO:0031088;GO:0048661;GO:0016021;GO:0016404;GO:0042626;GO:0042493;GO:0098591;GO:0005886;GO:0016323;GO:0032310;GO:0002576;GO:0055085;GO:0098656;GO:0016324;GO:0070730;GO:0015562;GO:0038183;GO:0071716;GO:0042908;GO:0150104;GO:0016020;GO:0015216;GO:0060271;GO:0010243;GO:0015431;GO:0014070;GO:0015662;GO:0005515;GO:0140115;GO:0042910;GO:0005524;GO:0016887"
"ABCC5","ABCC5","ABCC5","GO:0016020;GO:0016323;GO:0055085;GO:0008514;GO:0005886;GO:0042626;GO:0005887;GO:0005524;GO:0150104;GO:0015865;GO:0034775;GO:0016324;GO:0015562;GO:0005796;GO:0010008;GO:0030213;GO:0016887;GO:0042908;GO:0140115;GO:0042910;GO:0034634;GO:0015216"
"LOC114000060","ABCC6","ABCC6_ah_1","GO:0008559;GO:0030505;GO:0005654;GO:0016323;GO:0015867;GO:0005524;GO:0016324;GO:0042493;GO:0005789;GO:0071716;GO:0042626;GO:0016887;GO:0016020;GO:0005215;GO:0007601;GO:0016328;GO:0055085;GO:0005886;GO:0006855;GO:0030504;GO:0098656;GO:0015431;GO:0042908;GO:0016021"
"LOC114000062","ABCC6","ABCC6_ah_2","GO:0008559;GO:0030505;GO:0005654;GO:0016323;GO:0015867;GO:0005524;GO:0016324;GO:0042493;GO:0005789;GO:0071716;GO:0042626;GO:0016887;GO:0016020;GO:0005215;GO:0007601;GO:0016328;GO:0055085;GO:0005886;GO:0006855;GO:0030504;GO:0098656;GO:0015431;GO:0042908;GO:0016021"
