"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"LOC113986278","turquoise","LOC113986278","LOC113986278",0.0303594667157884,-0.572014626794521,-0.962343746524047,-0.0211947210557664,-0.307105413892011,-0.759787006003265,-0.17925242866493,-0.772508444928259,0.508965367599003,0.780208298074582,0.99342501904102
"LOC113986283","turquoise","RNF4","LOC113986283 (RNF4)",0.0103301270424244,-0.551142622397608,-0.947273833282469,0.013550950405757,-0.26049059187917,-0.723991679488871,-0.187001721697168,-0.775193172031049,0.511154772713672,0.761173247602928,0.983777108261447
"LOC113986293","blue",NA,"LOC113986293 (NA)",-0.737144442737533,0.960612763920016,0.806689310152419,-0.0651979000290091,0.431099388105753,0.30949527015707,0.523905769125379,0.0488583205599378,0.292675153052629,-0.957677701375668,-0.605778006909916
"LOC113986301","turquoise","LOC113986301","LOC113986301",-0.26715991106566,-0.0874145588329229,-0.468880117138926,0.0210620535424299,-0.23538192046921,-0.441033401854388,0.149540726750281,-0.612993895642598,0.513891982719001,0.268657074084369,0.58592538084676
"LOC113986306","turquoise","RSPH4A","LOC113986306 (RSPH4A)",-0.0284701225045803,-0.517042899815968,-0.935836852818108,-0.0184028650722795,-0.354816273141606,-0.757588717554625,-0.0700018329590886,-0.79684075508329,0.544100545812815,0.735977236366259,0.985057900107346
"LOC113986326","pink","LOC113986326","LOC113986326",0.862436996610346,-0.93386355013005,-0.632424997372286,0.143783245341107,-0.435442298658422,-0.207953737112612,-0.511743179543738,0.192738461793945,-0.499035377248477,0.866206527464672,0.380248779403185
"LOC113986332","turquoise","LOC113986332","LOC113986332",-0.0153326998993376,-0.536515611961229,-0.952906041260706,0.00498925233792849,-0.272909940547793,-0.747850184375993,-0.158920426940495,-0.801682323353584,0.543244037646218,0.754644284135682,0.998114898508164
"LOC113986334","magenta","LOC113986334","LOC113986334",0.278656342738454,-0.0590777485597258,0.195531902062538,-0.103250712292249,0.0894050089826798,0.110826525563369,-0.230341335613227,0.379426420487155,-0.351810918865281,-0.0464609469970086,-0.292742043178799
"LOC113986343","turquoise",NA,"LOC113986343 (NA)",-0.372828769911958,-0.109841041877058,-0.614748243711479,0.033725701531839,-0.0232601253629506,-0.586783574481537,0.0654262426605426,-0.819262042470436,0.702807016266097,0.330962219299244,0.760311431488419
"LOC113986346","blue","INCENP","LOC113986346 (INCENP)",-0.197443267786457,0.255243052243937,0.191978086369143,-0.250653767751252,-0.0932114844572988,-0.0999337431275145,0.278306832177296,-0.00980536220334115,0.104225374761671,-0.24124891966229,-0.135084312550482
"LOC113986351","turquoise",NA,"LOC113986351 (NA)",-0.0322946648829369,-0.410402846348205,-0.750556961647237,0.0680108412846455,-0.225233706346084,-0.586705181566045,-0.0987407303146971,-0.646381083188885,0.436267838577065,0.579885543057188,0.788209530833504
"LOC113986369","brown","UBE2L6","LOC113986369 (UBE2L6)",0.00326541224182333,0.196578311201136,0.344630418990182,0.0057152553108286,0.392812197202167,0.28677953618744,-0.16135445834848,0.286805126698817,-0.172215602084477,-0.282727146233103,-0.369082289832384
"LOC113986380","midnightblue",NA,"LOC113986380 (NA)",-0.741393947291174,0.484827823627228,-0.00876854096386898,-0.223209431179523,0.16206977026344,-0.30262617997016,0.340358545696032,-0.62466464520508,0.746924461533468,-0.30847533096629,0.246822741804803
"LOC113986387","turquoise","LOC113986387","LOC113986387",-0.166843038352474,-0.012379016866564,-0.240903688788409,-0.0956903309420596,-0.0955343593021778,-0.416921518331566,0.186161886931617,-0.346124254447731,0.322248439632059,0.118457617691622,0.301157420373665
"LOC113986391","turquoise",NA,"LOC113986391 (NA)",0.0252679624403936,-0.553256958191944,-0.936338999314583,-0.00559320886920649,-0.257139419540969,-0.739177413333662,-0.194717695108174,-0.755392707884147,0.496056803453927,0.756875193298026,0.96593466882484
"LOC113986401","turquoise",NA,"LOC113986401 (NA)",-0.0831911842438136,-0.473978067956324,-0.920333120453198,0.060601554320225,-0.263889417464148,-0.716046471437875,-0.0755596380190377,-0.828208682137893,0.580553639670352,0.700334283526236,0.985206779637915
"LOC113986404","turquoise","COA5","LOC113986404 (COA5)",-0.101520473945059,-0.186517478707342,-0.417858927775863,0.351187779916346,0.0181137167475927,-0.0260183190706393,-0.0856138910879168,-0.410701479836921,0.265178203758313,0.315016142213577,0.469366770150563
"LOC113986412","turquoise",NA,"LOC113986412 (NA)",-0.0517592825910723,-0.49745826780256,-0.928743699361991,-0.02092739981725,-0.27549980388503,-0.751546740468191,-0.123046642824032,-0.811419374483549,0.567343961535857,0.719997574542037,0.983972659269347
"LOC113986421","blue","LIPA","LOC113986421 (LIPA)",-0.617481447629359,0.822157594180695,0.707470996528155,0.455649046251305,0.52659397793893,0.50355032289024,0.398367642948478,0.0722345891041628,0.172729235895389,-0.812123629914426,-0.535639821883742
"LOC113986430","brown",NA,"LOC113986430 (NA)",-0.0451344129009792,0.249471428178365,0.408771325855177,0.108034103410642,0.102018484528931,0.493156305396619,-0.104987221651203,0.305772572140526,-0.216890240606731,-0.325435257730697,-0.393871308399543
"LOC113986435","blue","IL1RL2","LOC113986435 (IL1RL2)",-0.36853811919145,0.439908338765792,0.315309436550295,0.091905015735716,0.0802160886037251,-0.0398232491361449,0.363162435677898,-0.0503794792765096,0.182160456314834,-0.414755025087259,-0.218927032111938
"LOC113986447","blue","LOC113986447","LOC113986447",-0.748160505546399,0.73702913564613,0.403308877318127,-0.0811018562366923,0.520489324150316,0.011828790450975,0.259862350571391,-0.302142549256711,0.535592534311216,-0.633829168652802,-0.17413989232781
"LOC113986454","pink","LOC113986454","LOC113986454",0.519868178377846,-0.840823951221317,-0.850101399179102,-0.158510437127977,-0.51639092945678,-0.544009787736683,-0.259571710726097,-0.265899961056817,-0.0285981819331092,0.889653492264783,0.712789413721253
"LOC113986455","black","CFH","LOC113986455 (CFH)",0.676206805881045,-0.663736512050464,-0.384922192661141,0.354982413154098,-0.305134334845705,-0.0355409833639432,-0.395079126937825,0.241805050017639,-0.469036960757079,0.590162216578713,0.179985066328589
"LOC113986458","turquoise","SCN5A","LOC113986458 (SCN5A)",-0.303265046070387,-0.182803417575458,-0.669684971929483,0.00541518949509486,-0.125357901864564,-0.609107464942776,0.0908394851697891,-0.807902344844032,0.663937969357287,0.409961924837101,0.801822843051897
"LOC113986460","turquoise","SCN5A","LOC113986460 (SCN5A)",-0.301935241343963,-0.0236833314789721,-0.408857229389076,-0.119110846564079,-0.260431545791347,-0.542564443495705,0.245317121047668,-0.600750453805701,0.533858717914791,0.201758574487121,0.538430104042474
"LOC113986466","turquoise","LOC113986466","LOC113986466",0.00639966304969008,-0.551940475897795,-0.955734203946601,-0.019771001801058,-0.300462432214304,-0.76547086067616,-0.156987003988078,-0.786783625044344,0.525984680903428,0.764966462602978,0.99394546832608
"LOC113986478","pink","H2AFX","LOC113986478 (H2AFX)",0.67527694653733,-0.820487972637382,-0.650112642626491,-0.067330949109791,-0.520732019203367,-0.35192899894752,-0.325230827107904,0.0266908662545367,-0.304856738582462,0.80456431893316,0.458804403722257
"LOC113986485","turquoise","KLHDC10","LOC113986485 (KLHDC10)",-0.393237813554739,-0.156509725070249,-0.740818469367224,-0.0441216176560859,-0.0124604515486915,-0.746883347812868,-0.0393458238171206,-0.948622346173425,0.818646583937343,0.426504800899467,0.900452840534595
"LOC113986488","blue",NA,"LOC113986488 (NA)",-0.784711385845798,0.669375160713131,0.279582253251502,0.138365307083552,0.351521520478005,0.134081286548737,0.363074640441985,-0.413484255039299,0.5914661161762,-0.550200262342103,-0.0398726872490556
"LOC113986508","brown","SLC36A1","LOC113986508 (SLC36A1)",-0.363183615856275,0.798883431971882,0.954829879659971,-0.139377378833957,0.310680295829145,0.510158651317441,0.357214788379938,0.477628404804363,-0.147741927948263,-0.916207380670278,-0.871799314988771
"LOC113986509","blue","CAMK2A","LOC113986509 (CAMK2A)",-0.753669518509306,0.956236223774072,0.767350298293586,-0.0335262549409423,0.48002114043845,0.272949179061469,0.407461388966154,-0.00623272594007634,0.33523676604395,-0.924382277837927,-0.547515936673077
"LOC113986517","black","NAPA","LOC113986517 (NAPA)",0.858505045887497,-0.667248105200599,-0.184485019425787,-0.260819536882662,-0.378086909789221,-0.0827393529990924,-0.403740778613721,0.552267856167057,-0.694121318334139,0.49616454086813,-0.0883254565344948
