"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"ATP5F1E","black","ATP5F1E","ATP5F1E",1.69680859618743e-30,1.53557312913136e-17,0.00472083883741986,0.377646129416001,0.026665507013881,0.227783760557748,3.21314647486421e-08,1.05182160689251e-05,1.46331605432252e-13,3.97900288853554e-10,0.670795243216173
"ATP5IF1","brown","ATP5IF1","ATP5IF1",0.999468588053805,4.7164529653979e-06,2.08772600232201e-25,0.25729652681542,0.00124919534125136,1.3965735214621e-15,0.762990923316361,2.50542047773698e-13,9.16224782648305e-06,6.52260867895856e-12,3.65843855989872e-31
"ATP5MC1","black","ATP5MC1","ATP5MC1",2.39653604046441e-23,2.02122100983858e-23,6.58889934910557e-06,0.865559878536008,0.00355001483053644,0.407424293561716,9.23759602619047e-07,0.00892494195530364,1.45161343041253e-07,3.85178590017185e-15,0.0383799031355474
"ATP5MC3","magenta","ATP5MC3","ATP5MC3",9.90070015592089e-07,0.127390870222795,0.0125072785223307,0.130022765842108,0.62139358973628,6.3951564929734e-05,0.0101228001056034,1.82020495497659e-11,4.82787586488783e-12,0.997161753885174,2.83028484683851e-05
"ATP5MD","pink","ATP5MD","ATP5MD",2.80335393173604e-05,4.76421680783811e-21,1.37297380614794e-31,0.710292022929781,0.00132619849952132,3.58393040670121e-06,0.000200431765008386,0.00161010959844585,0.780544901945296,2.6937380921265e-36,3.67997624079651e-18
"ATP5ME","black","ATP5ME","ATP5ME",6.43317997330958e-24,2.04052812264555e-11,0.109111327321952,0.13441143421703,0.135885761082417,0.0471282723000061,1.26469780632537e-06,1.61545482065441e-07,1.02975892504693e-15,1.85091850215761e-06,0.51523607430241
"ATP5MF","black","ATP5MF","ATP5MF",6.55656849613112e-21,4.88141072237036e-22,4.11510106125544e-06,0.814764738206503,0.00955173163845498,0.409291540407266,4.94284420038688e-07,0.0177805491364157,4.68636591936233e-07,2.07995898586224e-15,0.0252244676200436
"ATP5MG","black","ATP5MG","ATP5MG",6.72683368194788e-21,2.20800500881049e-20,1.15243985820259e-05,0.548104227184823,0.00370175875588177,0.192301082024253,1.64664059536074e-07,0.0133179734347246,7.7901690432103e-07,3.2754101885111e-14,0.0403366539438306
"ATP5MPL","pink","ATP5MPL","ATP5MPL",9.32996237130779e-05,1.12552144591128e-19,1.84839487856025e-32,0.224493131902804,0.00155682891777918,2.33353448182135e-05,0.000603504419361941,0.000742182465282275,0.650324851779278,1.96317404656441e-34,4.82252448342104e-19
"ATP5PB","pink","ATP5PB","ATP5PB",1.20696881251912e-06,2.10605996829599e-18,1.80336312874278e-18,0.983899178355933,0.0121079126863257,3.925932318651e-06,5.51295494129757e-05,0.0491424918027757,0.623998999722815,2.04858607384928e-24,7.64479034821391e-11
