"gene","moduleColor","best_anno","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABCB10","black","ABCB10","ABCB10",0.0391163113755603,0.747830840013846,-0.0334692360074919,0.783271098932714,-0.00422238457097806,0.972326089919639
"ABCB11","turquoise","ABCB1","ABCB11",0.0349327178847585,0.77404094032229,-0.0198466325384511,0.870459350773323,0.021629126859481,0.858939216309121
"ABCB5","turquoise","ABCB1","ABCB5",-0.0302092742695577,0.803937390333896,-0.066021379918916,0.587114899870648,0.00756067282498526,0.95046806109374
"ABCB6","magenta","ABCB6","ABCB6",0.0503752693949384,0.678768645949385,-0.00668428219806204,0.956203513129612,-0.00154801937224924,0.989852411494933
"ABCB7","pink","ABCB7","ABCB7",0.111083625580722,0.359931529661028,0.0959613042568809,0.429387745595482,-0.160282870460419,0.185017146377866
"ABCB8","black","ABCB8","ABCB8",-0.0993809603787933,0.413049739572618,-0.116657328263704,0.336180174589732,-0.125782416405415,0.299479518800902
"ABCB9","brown","ABCB9","ABCB9",0.0598664683489463,0.622505808329697,-0.0367318565732803,0.762736581820305,-0.0181318702222302,0.881567189697485
"ABCC10","turquoise","ABCC1","ABCC10",0.00671779860379787,0.955984125681137,0.0206058881022215,0.865548905351048,0.0359674394684219,0.76753368086452
"ABCC2","turquoise","ABCC2","ABCC2",0.0618534381784513,0.610981807472928,-0.204396379449495,0.0896435582389116,-0.367281709987872,0.00176203987283736
"ABCC3","black","ABCC3","ABCC3",-0.0378305282054448,0.75585748895939,-0.035542280827306,0.770205549999664,-0.0363045553463493,0.765417025003387
"ABCC4","turquoise","ABCC4","ABCC4",-0.0338262593818348,0.781016552069948,0.0517371752912695,0.670577675740089,0.0272304614674722,0.82293963693742
"ABCC5","brown","ABCC5","ABCC5",-0.0510327008883285,0.674809922134892,-0.00972753421287923,0.936298625856171,-0.0884393491568041,0.466587886385755
"ABCC8","magenta","ABCC8","ABCC8",0.0132157409926178,0.913531953425619,0.0387549695186488,0.750083900721821,-0.0422691449189767,0.728263275134581
"ABCC9","black","ABCC9","ABCC9",0.0188961238665544,0.876613583903093,-0.0326645808060367,0.788358873275644,-0.0491366482956495,0.686250520920893
"ABCD2","blue","ABCD2","ABCD2",-0.0111664223562587,0.92690013240928,0.0404453911939427,0.739561917359037,0.0226262685424303,0.852507385738488
"ABCD3","magenta","ABCD3","ABCD3",-0.0496759968204233,0.682988844793469,-0.0138361975347715,0.909489113331589,0.0794498394753295,0.51324652958926
"ABCD4","midnightblue","ABCD4","ABCD4",0.0159253897466402,0.895893549477202,0.0550081590877986,0.65106208788611,-0.056304304798344,0.643392234578898
"ABCE1","black","ABCE1","ABCE1",-0.00378189774929737,0.975212121227164,0.00417297766996836,0.972649782676182,-0.0609318196952459,0.616315515328454
"ABCF2","turquoise","ABCF2","ABCF2",-0.00954782266765712,0.937473097628689,0.00233311855050111,0.984706435917899,-0.00683193012717393,0.955237082545535
"ABCF3","turquoise","ABCF3","ABCF3",0.0396115001291926,0.744746629961091,0.00757178174377018,0.95039537535423,0.0357227556485762,0.769071045339865
"ABCG1","magenta","ABCG1","ABCG1",-0.0524138035060277,0.666522317758705,-0.0397232318804302,0.744051276246224,-0.0275393870675627,0.820964033290786
