,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
LOC113987772,8.69005457672628,9.11053462595458,7.90074661545554,7.12307378008153,2.10673202573251,18.808437039643,11.4574130399543,8.46094573188447,5.58366016978248,0,15.382176349908,10.3474698097855
PTPRZ1,4797.87568797254,5848.96322986284,4891.44001570203,4716.49242438255,5485.93019500745,4985.22573324432,5295.40799046616,5226.74922587163,4475.30362608066,5105.86805942789,5633.72208815381,5192.36035055037
FAM3C,596.717080935205,827.034087711655,663.662715698266,652.270041861751,913.268333155042,914.683990770005,954.090031327105,854.555518920331,592.79858802524,722.363704121113,834.483066982509,921.959560051889
WNT16,4.82780809818127,26.3193222527577,12.2900502907086,24.4219672459938,45.2947385532489,6.92942417250004,41.6633201452884,29.6133100615956,35.3631810752891,30.8263316125653,17.3049483936465,25.8686745244638
CPED1,38.6224647854501,20.2456325021213,36.8701508721259,20.3516393716615,34.7610784245864,35.6370386014288,21.8732430762764,24.3252189791678,24.1958607357241,33.9089647738218,26.918808612339,22.7644335815281
ING3,442.227221793404,394.789833791365,411.716684738739,376.505328375738,447.680555468158,422.694874522503,445.797525554586,434.681086975564,388.99499182818,337.034558964047,481.654396956494,420.107274277292
TSPAN12,229.803665473428,259.144096027153,198.396526121439,197.410901905117,312.849705821277,240.550010559644,279.144244973433,282.384063801644,208.456646338546,169.544823869109,321.10293130433,293.868142597909
KCND2,583.199218260297,770.346316705715,718.967942006454,778.450205966053,774.224019456696,1001.79675179572,991.587019457865,931.761648723777,768.683883373389,724.418792895284,856.594945485502,1019.22577626387
PLP2,30.8979718283601,28.3438855029698,26.3358220515185,27.474713151743,18.9605882315926,31.6773676457145,20.8316600726442,28.5556918451101,26.0570807923183,22.6059765158812,19.227720437385,22.7644335815281
LOC113987805,5.79336971781752,16.196506001697,31.6029864618222,10.1758196858308,11.5870261415288,24.7479434732144,18.7484940653798,7.40332751539891,24.1958607357241,14.3856214191971,18.2663344155158,9.31272282880696
