,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
ECD,473.387063983268,602.00567271172,471.884737091252,560.597738172663,623.477099823995,535.563773059131,502.465699032921,458.545017541109,414.340057318055,461.626894270889,453.018677651077,516.725453746006
FAM149B1,506.753553074599,800.594763364464,637.728285996511,669.213549943616,757.817469399331,659.481856841434,708.295021528335,752.140106224918,525.364879306594,534.268689816054,694.779268716739,684.758355058147
LOC113982641,40.6654085800605,24.9536030139573,41.0334553992393,26.8619749541067,23.2512178111158,23.7651119582499,41.3676579525096,25.2554914996824,19.4579584928368,39.8358233634777,15.8161134342022,29.1386534067296
DNAJC9,2445.13802872415,2749.05526537096,2550.91314398604,2598.6040988212,2511.99267981574,2172.81023618285,2546.63338224718,2179.86461006634,3334.17841703727,2748.67181207996,2263.96366586723,2676.87095963156
CWF19L1,375.373002277481,428.370185072934,412.899144954846,379.571385221074,387.520296851931,409.099427281301,428.811088532112,312.53670730857,458.97890327221,388.985098725724,341.176161223504,407.941147694215
CHUK,473.387063983268,464.760856134955,454.787464008236,469.500605719605,495.164823755245,448.990865211221,465.133910148949,488.535913696982,572.292896848142,468.656745452679,485.780626907639,522.553184427352
ERLIN1,688.183837508715,571.853402403188,559.935693468787,586.291801172243,621.754787393542,624.682942902568,640.694214630332,573.77319750841,717.65529264757,528.410480497896,604.401477664155,689.614797292602
ADAM8,18.7686501138741,5.19866729457444,29.0653642411279,23.3582390905276,5.16693729135908,14.4288179746517,4.03586906853752,9.47080931238091,19.4579584928368,4.68656745452679,21.4647253749887,33.0238071942936
TUBGCP2,684.013026372299,859.859570522612,795.878062014413,884.10934957647,710.453877561873,595.825306953265,726.456432336754,666.902822413489,782.896682888258,826.007513860347,678.963155282537,798.399103344392
ZNF511,109.483792330932,173.635487638786,172.682458138465,202.048768133064,105.061058257635,165.50702970924,147.30922100162,167.317631185396,195.724170722065,195.664191226494,135.566686578876,179.688362674833
ECHS1,326.365971424588,218.344026372126,205.167276996197,405.265448220654,337.573236368793,409.94818127981,249.214914982192,333.846028261427,458.97890327221,193.32090749923,345.695050776134,398.228263225305
MTG1,264.846507162445,329.595506476019,273.556369328262,339.862378767177,288.487332100882,282.635081503472,248.205947715058,282.545811152697,361.689110808026,248.38807508992,285.819764203797,338.008379518064
PAOX,71.9464921031839,46.78800565117,35.0494098201836,67.7388933625301,57.6974664201763,85.7241538494013,49.4393960895846,73.3987721709521,62.9522186532956,30.4626884544241,58.7455641841796,64.1050374948052
RNLS,55.263247557518,53.0264064046593,53.8564102115016,45.5485662265288,82.6709966617452,59.4127798956247,92.824988576363,54.4571535461903,53.7955323037253,42.1791070907411,81.3400119473256,27.1960765129477
