"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"6057","LOC113985026",9.49855460442759,-0.0604389361580154,0.455674601215738,-0.132636175017797,0.894481121639027,0.98498623963457,"NPY7R","LOC113985026 (NPY7R)","GON","~ Year + mean_T","no"
"2080","COLEC11",36.5993181692576,-0.0419669944357034,0.31646550321515,-0.132611592762362,0.894500563702885,0.98498623963457,"COLEC11","COLEC11","GON","~ Year + mean_T","no"
"11014","NONO",1614.88826594139,0.00703713533377651,0.0530688663875593,0.132603837481371,0.894506697354533,0.98498623963457,"NONO","NONO","GON","~ Year + mean_T","no"
"6198","LOC113985807",206.905414311822,-0.0115462126913923,0.0870777885628751,-0.132596531009228,0.894512476049039,0.98498623963457,NA,"LOC113985807","GON","~ Year + mean_T","no"
"5776","LOC113983650",18.4432378616365,0.0394862223226592,0.297927290625597,0.13253643947738,0.8945600027007,0.98498623963457,NA,"LOC113983650","GON","~ Year + mean_T","no"
"1380","CBFB",195.598826267766,-0.0205260772619562,0.155064478994615,-0.132371239338888,0.894690662152772,0.98498623963457,"CBFB","CBFB","GON","~ Year + mean_T","no"
"7697","LOC113993690",703.293448421651,0.0180121359485261,0.13612813525867,0.132317510368445,0.894733157877377,0.98498623963457,"TMOD3","LOC113993690 (TMOD3)","GON","~ Year + mean_T","no"
"11616","PEX11G",679.279040616416,0.0124913425424581,0.0944199220710649,0.132295624360466,0.894750468211322,0.98498623963457,"PEX11G","PEX11G","GON","~ Year + mean_T","no"
"3914","GAS2L2",8.56231923887197,0.0643214705955388,0.48679546307432,0.132132436463811,0.894879540244917,0.98498623963457,"GAS2L2","GAS2L2","GON","~ Year + mean_T","no"
"12585","RAPH1",410.413360638445,-0.0161057448473482,0.121904950653672,-0.132117233639708,0.894891564926886,0.98498623963457,"RAPH1","RAPH1","GON","~ Year + mean_T","no"
"6441","LOC113987175",9.50142383979234,-0.0865766913726786,0.656145486273212,-0.131947400666304,0.895025896050614,0.98498623963457,"GPR179","LOC113987175 (GPR179)","GON","~ Year + mean_T","no"
"9876","LYPD1",93.1954621219374,-0.0531442685195505,0.402775143366353,-0.1319452538093,0.895027594148349,0.98498623963457,"LYPD1","LYPD1","GON","~ Year + mean_T","no"
"10801","NDUFA9",248.074088220288,-0.0139249453815885,0.105549541041244,-0.131928052402874,0.895041199948133,0.98498623963457,"NDUFA9","NDUFA9","GON","~ Year + mean_T","no"
"2565","DDHD1",727.364273377043,0.00923174988135562,0.070011555042231,0.131860374702248,0.895094731291833,0.98498623963457,"DDHD1","DDHD1","GON","~ Year + mean_T","no"
"4717","IKZF3",5037.09735819379,-0.0145503267781992,0.110356382172435,-0.131848530114587,0.895104100109212,0.98498623963457,"IKZF3","IKZF3","GON","~ Year + mean_T","no"
"8019","LOC113995476",446.05126768169,-0.0117904338761612,0.089468144133575,-0.131783597283053,0.895155460860361,0.98498623963457,"LOC113995476","LOC113995476","GON","~ Year + mean_T","no"
"8416","LOC113997414",18.2112046547029,-0.061859433036632,0.469592708460564,-0.131729969231042,0.89519788005705,0.98498623963457,"LOC113997414","LOC113997414","GON","~ Year + mean_T","no"
"2965","E4F1",463.29417875576,0.00841499554759049,0.0639380082458022,0.131611787393189,0.895291361642869,0.985005968310359,"E4F1","E4F1","GON","~ Year + mean_T","no"
"9028","LOC114000617",6.61959789312084,0.0605821255852854,0.460515091336971,0.131552964766915,0.895337890758899,0.985005968310359,NA,"LOC114000617","GON","~ Year + mean_T","no"
"4525","HNRNPH3",4535.76953731375,0.00834080830161821,0.0634582756039804,0.13143767652418,0.895429085623668,0.985039140685059,"HNRNPH3","HNRNPH3","GON","~ Year + mean_T","no"
"7061","LOC113990365",81.5312093579335,0.0399134520006176,0.304000590871527,0.131293994811626,0.89554274211651,0.985097016328161,"LOC113990365","LOC113990365","GON","~ Year + mean_T","no"
"7484","LOC113992487",210.691886247949,0.0194878906057875,0.148642137972128,0.131106097313009,0.89569137784151,0.985193358614168,"TOR1A","LOC113992487 (TOR1A)","GON","~ Year + mean_T","no"
"3117","ELK4",287.008613124235,-0.0132391437815935,0.101121392813575,-0.130923273634105,0.895836003452073,0.985281048391848,"ELK4","ELK4","GON","~ Year + mean_T","no"
"4110","GNL2",4978.97092866224,-0.00676301480444199,0.0516848728490265,-0.130850951770686,0.895893215780726,0.985281048391848,"GNL2","GNL2","GON","~ Year + mean_T","no"
"11317","OTOP1",10.8575170623608,0.0557959007318151,0.428018168632367,0.130358720308761,0.896282624265777,0.985389336870193,"OTOP1","OTOP1","GON","~ Year + mean_T","no"
"2710","DIXDC1",361.277054168689,-0.011867422131963,0.0911176482400361,-0.130242849340229,0.896374294408721,0.985389336870193,"DIXDC1","DIXDC1","GON","~ Year + mean_T","no"
"3531","FASLG",240.609422837481,0.0198617049839966,0.152514513145371,0.130228294831621,0.896385809158589,0.985389336870193,"FASLG","FASLG","GON","~ Year + mean_T","no"
"9269","LOC114001897",51.9013081172221,-0.0478666569493929,0.368208962150803,-0.129998619994993,0.896567518510699,0.985389336870193,"LOC114001897","LOC114001897","GON","~ Year + mean_T","no"
"12900","RNF207",77.1168896588126,-0.0224094382607241,0.172464416780355,-0.129936590278005,0.89661659482074,0.985389336870193,"RNF207","RNF207","GON","~ Year + mean_T","no"
"11149","NTNG2",478.226716351118,0.0240705639208059,0.185321193266326,0.129885651481933,0.896656896576394,0.985389336870193,"NTNG2","NTNG2","GON","~ Year + mean_T","no"
"13191","SBSPON",27.7910087488179,0.040250078243654,0.309969703988494,0.129851652357445,0.896683796151411,0.985389336870193,"SBSPON","SBSPON","GON","~ Year + mean_T","no"
"7722","LOC113993820",34.8215590036629,-0.0350199783654979,0.269959287294959,-0.129723184249019,0.896785439179446,0.985389336870193,NA,"LOC113993820","GON","~ Year + mean_T","no"
"14","AARS",2600.22940129607,-0.0079305282039916,0.0612175343146428,-0.129546677970247,0.896925092418739,0.985389336870193,"AARS","AARS","GON","~ Year + mean_T","no"
"5775","LOC113983639",16.2441440145982,-0.0422642968876224,0.326300374280883,-0.12952573830406,0.896941660269173,0.985389336870193,"LEFTY1","LOC113983639 (LEFTY1)","GON","~ Year + mean_T","no"
"15081","TPH2",62.7019614828971,-0.0255655264939627,0.197462725119799,-0.129470139128549,0.896985651581239,0.985389336870193,"TPH2","TPH2","GON","~ Year + mean_T","no"
"3855","GABRA5",231.370060428189,0.0168052817566692,0.129972488539792,0.129298761187634,0.897121251635629,0.985389336870193,"GABRA5","GABRA5","GON","~ Year + mean_T","no"
"6243","LOC113986012",630.552346853663,-0.0156636302216198,0.121218047968888,-0.129218631087345,0.897184654326874,0.985389336870193,"PTCHD3","LOC113986012 (PTCHD3)","GON","~ Year + mean_T","no"
"103","ACBD4",145.441549333838,-0.0196554733374283,0.152167369336902,-0.129170093582355,0.897223059795189,0.985389336870193,"ACBD5","ACBD4","GON","~ Year + mean_T","no"
"8056","LOC113995619",133.350973742253,0.0275001193989683,0.212984427588832,0.129117981583411,0.897264293862217,0.985389336870193,"LOC113995619","LOC113995619","GON","~ Year + mean_T","no"
"12217","PROSER2",181.170331209139,-0.0236580501095446,0.183418172291659,-0.128984221214053,0.897370134173822,0.985389336870193,"PROSER2","PROSER2","GON","~ Year + mean_T","no"
"15914","ZBTB39",226.355302392902,-0.0104990470782955,0.0814088995089615,-0.128966822320695,0.89738390149714,0.985389336870193,"ZBTB39","ZBTB39","GON","~ Year + mean_T","no"
"13850","SMARCC2",2034.24383950862,-0.0116028947011641,0.0899937649954571,-0.128929984224461,0.89741305069327,0.985389336870193,"SMARCC2","SMARCC2","GON","~ Year + mean_T","no"
"12377","PTPRCAP",25.5645286640687,0.0418524790620103,0.324839476314016,0.128840495425354,0.897483861838889,0.985389336870193,NA,"PTPRCAP","GON","~ Year + mean_T","no"
"3786","FSCN1",412.405521197021,0.010078892195726,0.0782348902063603,0.128828610472142,0.897493266285681,0.985389336870193,"FSCN1","FSCN1","GON","~ Year + mean_T","no"
"7331","LOC113991730",20.7910225900837,0.038852085326699,0.301852720159974,0.128712059663098,0.897585492559389,0.985389336870193,"LOC113991730","LOC113991730","GON","~ Year + mean_T","no"
"6470","LOC113987277",422.499102448076,-0.0214768346025964,0.167089882717095,-0.12853462012993,0.897725902537321,0.985389336870193,"LOC113987277","LOC113987277","GON","~ Year + mean_T","no"
"10484","MRPS28",276.10390252523,-0.014625088935692,0.113895244389113,-0.128408249300793,0.897825903205211,0.985389336870193,"MRPS28","MRPS28","GON","~ Year + mean_T","no"
"12216","PROSER1",1226.91578355758,-0.0136280468692256,0.10614816552828,-0.128387022059226,0.897842701056979,0.985389336870193,"PROSER1","PROSER1","GON","~ Year + mean_T","no"
"11549","PDGFC",92.9375138187084,-0.0207593603537883,0.161874917528671,-0.128243218101479,0.897956499316681,0.985389336870193,"PDGFC","PDGFC","GON","~ Year + mean_T","no"
"12493","RAB40C",216.139655972824,0.0124878094423168,0.0974140638169935,0.128193085813327,0.897996171646968,0.985389336870193,"RAB40C","RAB40C","GON","~ Year + mean_T","no"
"10179","METAP2",666.183404344775,-0.00921248555530929,0.0719260247176594,-0.128082784937333,0.898083459459597,0.985389336870193,"METAP2","METAP2","GON","~ Year + mean_T","no"
"5672","LOC113983202",53.0448025151431,0.0260330395315164,0.203312777701075,0.128044286374327,0.898113926011679,0.985389336870193,"GUCA1A","LOC113983202 (GUCA1A)","GON","~ Year + mean_T","no"
"1267","CACNA2D3",81.7008103345048,0.0324030286213862,0.253074072918073,0.128037725270561,0.898119118277849,0.985389336870193,"CACNA2D3","CACNA2D3","GON","~ Year + mean_T","no"
"7113","LOC113990646",5.34098357157602,0.0730847482803445,0.570988163580446,0.127996958504461,0.898151380005347,0.985389336870193,NA,"LOC113990646","GON","~ Year + mean_T","no"
"11551","PDGFRA",296.622696300547,0.0160258230205662,0.125235187122849,0.127965816866195,0.898176024777729,0.985389336870193,"PDGFRA","PDGFRA","GON","~ Year + mean_T","no"
"10261","MICU2",1683.08904335735,0.0109720067449067,0.0859453759250182,0.127662560397421,0.898416020065597,0.985389336870193,"MICU2","MICU2","GON","~ Year + mean_T","no"
"12044","PPFIA4",80.2451690592918,0.0268616936439922,0.210420850209536,0.12765699604979,0.898420423742662,0.985389336870193,"PPFIA4","PPFIA4","GON","~ Year + mean_T","no"
"6594","LOC113987997",20.7418804247528,-0.0468952756801622,0.36759385300034,-0.127573612282681,0.89848641481502,0.985389336870193,"LOC113987997","LOC113987997","GON","~ Year + mean_T","no"
"13088","RSPO4",238.163010996541,-0.0651843015491828,0.51099911588757,-0.127562454655058,0.898495245169878,0.985389336870193,"RSPO4","RSPO4","GON","~ Year + mean_T","no"
"2135","CPED1",109.354821635133,0.0175511913713449,0.137595207232906,0.127556705820692,0.898499794909655,0.985389336870193,"CPED1","CPED1","GON","~ Year + mean_T","no"
"11052","NPNT",71.7982329683969,0.0367039411943072,0.287850342023735,0.127510500547818,0.89853636278603,0.985389336870193,"NPNT","NPNT","GON","~ Year + mean_T","no"
"3397","FAM114A2",526.121056096035,-0.0146422902047425,0.114851098049907,-0.127489335786585,0.898553113118809,0.985389336870193,"FAM114A2","FAM114A2","GON","~ Year + mean_T","no"
"15124","TRAP1",1774.69783228777,0.00963867271118518,0.075606324412538,0.127485005865287,0.898556539934719,0.985389336870193,"TRAP1","TRAP1","GON","~ Year + mean_T","no"
"2178","CREB3L3",195.721405106008,0.0153981685280723,0.120794331905732,0.127474263776624,0.898565041520121,0.985389336870193,"CREB3","CREB3L3","GON","~ Year + mean_T","no"
"12913","RNF34",5106.65752704527,-0.00960764280636706,0.0754346324150291,-0.127363818166533,0.898652451898753,0.985389336870193,"RNF34","RNF34","GON","~ Year + mean_T","no"
"12830","RINT1",787.878114764293,0.0118529938061823,0.0930791118599806,0.127343219862399,0.898668754227031,0.985389336870193,"RINT1","RINT1","GON","~ Year + mean_T","no"
"4355","HAO2",52.4309494050148,-0.10607261313801,0.833058657906348,-0.127329104777079,0.898679925499271,0.985389336870193,"HAO2","HAO2","GON","~ Year + mean_T","no"
"5532","LOC113982345",48.6754772874977,-0.0265920351724638,0.208855374775625,-0.127322723683945,0.898684975771373,0.985389336870193,"PXDN","LOC113982345 (PXDN)","GON","~ Year + mean_T","no"
"13310","SELENOO",386.813390412323,0.0125558108048427,0.0986675053358055,0.127253757578142,0.898739558781403,0.985389336870193,"SELENOO","SELENOO","GON","~ Year + mean_T","no"
"5188","KLF15",128.122625642418,0.0362109291211114,0.284973052303732,0.127067906345463,0.898886652545836,0.985478017269351,"KLF15","KLF15","GON","~ Year + mean_T","no"
"11848","PLCXD2",701.15925979407,0.0166162378520209,0.130896168737099,0.126942125291643,0.898986205154731,0.985478017269351,"PLCXD2","PLCXD2","GON","~ Year + mean_T","no"
"13529","SIX4",405.846749812429,0.0116347098011972,0.0917404955141282,0.126821963801203,0.899081311502139,0.985478017269351,"SIX4","SIX4","GON","~ Year + mean_T","no"
"4653","IDH3A",4955.51514084052,-0.00710769127349306,0.0560664983684799,-0.12677251978142,0.89912044625895,0.985478017269351,"IDH3A","IDH3A","GON","~ Year + mean_T","no"
"8725","LOC113999047",1251.49054725919,0.0802866113951073,0.633346140627721,0.126765770318792,0.899125788452417,0.985478017269351,"LOC113999047","LOC113999047","GON","~ Year + mean_T","no"
"704","ARL4A",640.583639200149,-0.0129215293342056,0.102119888894702,-0.126532935690218,0.899310079643846,0.985520164530148,"ARL4A","ARL4A","GON","~ Year + mean_T","no"
"15430","UBN1",735.426261921065,0.00969388155497049,0.0766203772305735,0.1265183219576,0.899321646756515,0.985520164530148,"UBN1","UBN1","GON","~ Year + mean_T","no"
"7422","LOC113992241",70.7718713940872,-0.0245124638635472,0.193935117754208,-0.126395178693805,0.899419118391824,0.985520164530148,"LOC113992241","LOC113992241","GON","~ Year + mean_T","no"
"9608","LOC114003727",185.450460207517,-0.0122058068675073,0.0966113649368067,-0.126339244616729,0.899463392414672,0.985520164530148,"EIF4G1","LOC114003727 (EIF4G1)","GON","~ Year + mean_T","no"
"11261","OLAH",233.136118813262,-0.0172901441340243,0.136863395352177,-0.126331398468768,0.899469602974532,0.985520164530148,"OLAH","OLAH","GON","~ Year + mean_T","no"
"15579","UTP4",1311.89026174443,0.0151253880178382,0.119879922915545,0.126171152349622,0.899596445940386,0.985525473939606,"UTP4","UTP4","GON","~ Year + mean_T","no"
"5576","LOC113982683",28.3478642413109,0.0330702585288069,0.26210672417051,0.126170965790612,0.89959659361284,0.985525473939606,"KIF3C","LOC113982683 (KIF3C)","GON","~ Year + mean_T","no"
"14981","TNC",584.354494711091,-0.0197313761757265,0.156772088848367,-0.125860261993517,0.89984253880459,0.985573937825495,"TNC","TNC","GON","~ Year + mean_T","no"
"6440","LOC113987173",18.0121658815227,-0.0429625662743671,0.341811364071019,-0.125690865753195,0.899976632595575,0.985573937825495,NA,"LOC113987173","GON","~ Year + mean_T","no"
"12855","RMND5A",1431.55356588558,-0.00718786008280271,0.0571888796992271,-0.125686324344973,0.899980227606323,0.985573937825495,"RMND5A","RMND5A","GON","~ Year + mean_T","no"
"14857","TMEM186",153.51208066637,0.0159022631995102,0.126578575620247,0.125631554325743,0.900023584101047,0.985573937825495,"TMEM186","TMEM186","GON","~ Year + mean_T","no"
"8573","LOC113998313",469.188995788896,0.0210225914005333,0.167367317754279,0.125607506188262,0.90004262094133,0.985573937825495,"LOC113998313","LOC113998313","GON","~ Year + mean_T","no"
"8183","LOC113996329",85.8935587026488,0.019156947878344,0.152601218706242,0.12553600843268,0.900099219899196,0.985573937825495,NA,"LOC113996329","GON","~ Year + mean_T","no"
"13817","SLIT1",402.127902694746,-0.0311999861062905,0.248681595032311,-0.125461581112332,0.900158138494866,0.985573937825495,"SLIT1","SLIT1","GON","~ Year + mean_T","no"
"8624","LOC113998555",66.260158036266,-0.0260328385816491,0.20758521924678,-0.125407958601816,0.900200587804888,0.985573937825495,NA,"LOC113998555","GON","~ Year + mean_T","no"
"10160","MEIOB",1327.08295048259,0.00927356102872275,0.0739806917880168,0.125351099112388,0.900245599923716,0.985573937825495,"MEIOB","MEIOB","GON","~ Year + mean_T","no"
"8688","LOC113998879",13.1621728603036,0.0852813271733976,0.680480344162172,0.125325188163074,0.900266112116002,0.985573937825495,NA,"LOC113998879","GON","~ Year + mean_T","no"
"11525","PDCL",1831.9753612701,0.0369097309983313,0.294747247105645,0.125225023679702,0.90034540714093,0.985573937825495,"PDC","PDCL","GON","~ Year + mean_T","no"
"8875","LOC113999817",843.987544529315,0.0154658293310046,0.123729491337883,0.12499711397641,0.900525835133991,0.985573937825495,"SLC47A2","LOC113999817 (SLC47A2)","GON","~ Year + mean_T","no"
"7781","LOC113994161",128.49063211574,0.0204452795012264,0.163595153838579,0.124974848102163,0.900543462509198,0.985573937825495,"LRRC14","LOC113994161 (LRRC14)","GON","~ Year + mean_T","no"
"6554","LOC113987812",720.657953529584,-0.011000751784274,0.088068644442619,-0.124911106034356,0.900593925894166,0.985573937825495,"HK1","LOC113987812 (HK1)","GON","~ Year + mean_T","no"
"7416","LOC113992209",175.826724088884,0.0250387654297806,0.200554965537876,0.124847397134388,0.900644363422268,0.985573937825495,NA,"LOC113992209","GON","~ Year + mean_T","no"
"3039","EFNA3",4.85637113729545,-0.0683753882405736,0.547854623136066,-0.124805715518425,0.900677362446098,0.985573937825495,"EFNA3","EFNA3","GON","~ Year + mean_T","no"
"5744","LOC113983488",8.86902176785551,0.0660350473561437,0.529116691902534,0.124802427076536,0.90067996588827,0.985573937825495,"HTR7","LOC113983488 (HTR7)","GON","~ Year + mean_T","no"
"13885","SMIM8",1867.77497916079,-0.0127344536616126,0.102182497660888,-0.124624607473134,0.900820746324624,0.985573937825495,"SMIM8","SMIM8","GON","~ Year + mean_T","no"
"9818","LRRC75A",297.443878593323,-0.0134957899172762,0.108318551509806,-0.124593522800704,0.900845356495003,0.985573937825495,"LRRC75A","LRRC75A","GON","~ Year + mean_T","no"
