"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"TNRC18",5594.63327956088,0.476699627893798,0.169356438368626,7.71465115883086,0.00547744431541219,0.821670879433764,"TNRC18","TNRC18","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GCHFR",81.2991082129567,-1.36148561960155,0.511612910571687,7.57221938783023,0.00592747513883354,0.824518426458532,"GCHFR","GCHFR","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983089",21.9137202442433,3.07029504830462,1.02575426046597,7.64441791465985,0.00569482696179433,0.824518426458532,"LOC113983089","LOC113983089","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114000824",16.2966353194955,4.32520981856659,1.64357461307436,7.56216734311853,0.00596062658683728,0.824518426458532,"CIB1","LOC114000824 (CIB1)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LRRC3B",508.638332162767,-0.464841243365792,0.166803782756733,7.68774387222933,0.00555970860251329,0.824518426458532,"LRRC3B","LRRC3B","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PMP22",59.7615030636645,-2.44047981791095,0.835284823981449,7.60745361462105,0.00581275123043558,0.824518426458532,"PMP22","PMP22","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"S100A10",593.104885673843,1.07197626450343,0.382455989823401,7.53814286082758,0.00604062737356591,0.824518426458532,"S100A10","S100A10","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SFT2D3",6.8070195577115,-3.30124980796831,1.32045990233204,7.58472282007578,0.00588650142297928,0.824518426458532,NA,"SFT2D3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SOCS1",79.201143520793,-1.46403296805911,0.505395388032771,7.54055042823749,0.00603256109199521,0.824518426458532,"SOCS1","SOCS1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SPATA7",497.864877405384,0.441713272312626,0.160877175066976,7.57583114033794,0.00591560963831087,0.824518426458532,"SPATA7","SPATA7","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"TBC1D9B",3555.46654421032,0.736511015400383,0.25668000040284,7.55840641655632,0.00597307862459456,0.824518426458532,"TBC1D9B","TBC1D9B","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SLC6A6",1895.91602713372,-0.780286639534569,0.28239344866523,7.5179968216782,0.00610855723754246,0.826345988446481,"SLC6A6","SLC6A6","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ADAMTS15",103.339658381227,1.3810625358284,0.524716160069175,7.27068708954536,0.00700889863316374,0.841634576684802,"ADAMTS15","ADAMTS15","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ANGPTL2",126.92985701501,0.794290208405443,0.288788670502796,7.32201263873573,0.00681150894581436,0.841634576684802,"ANGPTL2","ANGPTL2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"AR",543.240535268517,-0.724439277380444,0.273610452141047,7.23008233562342,0.00716919191796475,0.841634576684802,"AR","AR","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CCDC92B",857.683467599708,0.453620995672738,0.166964959626798,7.25790193767196,0.00705897106793957,0.841634576684802,"CCDC92B","CCDC92B","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
