"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"NR2F1",1389.13350470839,0.487512929390614,0.151100193094396,10.0759874752059,0.00150214096288626,0.305795842951299,"NR2F1","NR2F1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"VPS13B",1376.12971328598,0.488911902894568,0.15065181929866,10.1489482205055,0.00144383596161722,0.305795842951299,"VPS13B","VPS13B","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GATM",495.411662274215,-0.696974801308982,0.218480681364043,9.96437745793989,0.00159598133749741,0.310083874203069,"GATM","GATM","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113999980",251.664502608741,-0.813736416394454,0.257515933325015,9.97647998415991,0.0015855250164513,0.310083874203069,"LOC113999980","LOC113999980","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114001938",15.0982320220696,-3.5323465526836,1.23416044253049,9.95464299976921,0.00160444236717596,0.310083874203069,"AMY2A","LOC114001938 (AMY2A)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"VPS26A",962.265274092779,-0.529032949191853,0.170873982875516,9.95477505146781,0.00160432728656115,0.310083874203069,"VPS26A","VPS26A","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CACNA1S",721.582822784969,-0.713804926970462,0.226144655830897,9.82834940943303,0.00171842487997858,0.313050944014415,"CACNA1S","CACNA1S","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"FNTA",1397.57057649983,0.331537532324543,0.105047808662836,9.91264399074902,0.00164147131532214,0.313050944014415,"FNTA","FNTA","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113989700",293.438074368766,0.837411225210532,0.268698367111001,9.83142099081462,0.00171555763056929,0.313050944014415,"SLC1A6","LOC113989700 (SLC1A6)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"NPM3",16.2342474026082,-2.32436392382797,0.773261231503696,9.82147490600447,0.00172485967559025,0.313050944014415,"NPM3","NPM3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
