,PFT1_AH_run2,PFT10_AH_run2,PFT11_AH_run2,PFT12_AH_run2,PFT2_AH_run2,PFT3_AH_run2,PFT4_AH_run2,PFT5_AH_run2,PFT7_AH_run2,PFT8_AH_run2,PFT9_AH_run2
SLC25A19,447.308080302797,364.130953902204,447.213130001323,432.499671309843,391.733600195729,395.499569682172,381.14049924662,335.797701640648,356.929033625904,409.469010059719,370.749704143653
MIF4GD,193.358273756388,264.915497361435,190.909378609056,354.746921411445,244.428816651054,223.353751473403,279.565158371604,271.263289924693,351.64901833558,215.233710416006,225.062151024873
MRPS7,458.00070373633,451.072333345146,426.118171038997,502.477146218402,452.436120887216,473.945765321611,472.465117648011,426.583399478348,534.337547380792,395.820043057729,478.257070927856
GGA3,1399.84261784003,1177.28856163325,1298.3947241312,1487.02134180688,1487.61644041271,1210.46837993634,1536.67648718258,1344.284610151,1334.78786539391,1264.10432849206,1242.86553936504
NUP85,613.934795475353,541.082232062545,614.91805375182,647.29164290417,681.48696562976,562.19773541598,536.76510407348,597.216759269687,679.00996633567,555.407964927158,621.935140555342
LOC114003151,84.6499355154696,51.1419879076129,58.0111371463981,43.7359218178493,52.6088512659553,72.998543164478,84.80143137272,73.2848404232033,45.4081314967866,73.4944377030265,43.2038950628105
SUMO2,2207.13568707177,2233.88203180453,2130.59085519498,1915.6333756218,1754.70753145525,2067.92887949521,1778.0344072434,2042.13129955404,1960.99767882634,2045.24520922137,2247.60728501179
JPT1,2557.31910451998,2662.45189047033,2834.10773658858,2789.37990260506,2156.96290190417,2417.66816838771,2198.31402866205,2202.92042704972,2410.85498156195,2773.89006301995,2842.41439843467
NT5C,8.01946757514975,13.2969168559794,20.0402110142103,19.4381874745997,20.234173563829,11.9848354449143,22.3652126697283,17.5008574144963,21.1200611612961,23.0982518495226,22.1043184042286
ARMC7,134.548844871957,123.763610736423,95.9820632785859,142.870677938308,127.070609980846,93.69962256933,132.327508295893,141.100662904377,161.568467883915,133.339908404062,126.597459951491
SLC16A5,16.0389351502995,13.2969168559794,16.8759671698613,31.1010999593595,22.6622743914884,10.8953049499221,37.2753544495472,24.0636789449324,8.44802446451844,25.198092926752,12.0569009477611
KCTD2,4102.40319066549,2950.89270226927,3080.9187564478,3755.45782009266,3029.46046597647,3474.51274853016,3845.88469533204,2644.81707676576,3661.16260231068,2954.47639566167,3035.32481359885
ATP5PD,1317.86583818294,1407.42750721751,1158.11324703173,1463.69551683736,1472.2384685042,1292.18316706076,1365.20985671467,1488.66668382059,1639.97274917464,1182.21052648011,1130.3344638526
MRPL58,157.716195644612,263.892657603283,164.540679906147,241.033524685036,246.04755053616,236.428117413309,253.472410256921,240.636789449324,255.552740051683,224.682995263538,235.109568481341
CDR2L,346.619209637028,473.574808024496,399.749472336089,616.190542944811,802.892007012733,500.094497201424,660.705657618225,672.689206869702,779.330256851826,383.220996594353,494.332938858204
HID1,5161.86396253805,5766.77055646243,5097.59683324622,6210.50089813461,6632.76209422314,5028.18323438905,5557.75534842749,4814.9233961633,6309.61827193721,5521.53211257452,5293.98425781276
OTOP2,6.23736366956091,12.2740770978271,6.32848768869797,22.3539155957897,11.3311371957442,6.53718296995326,13.9782579185802,5.4690179420301,6.33601834838883,16.7987286178346,13.0616426934078
USH1G,8.01946757514975,33.7537120190245,11.6022274292796,33.0449187068195,29.9465768744669,6.53718296995326,27.0246319759217,22.9698753565264,14.7840428129073,33.5974572356693,36.1707028432832
FADS6,220.980884293015,344.696998497311,260.522743184733,431.527761936113,442.723717576578,273.472154243045,458.486859729431,444.084256892844,476.257379187227,387.420678748811,369.744962398006
FDXR,245.930338971259,258.778458812521,254.194255496035,259.499802785906,231.478945570203,220.085159988426,220.856475113567,220.948324858016,197.472571858119,232.032439033841,215.014733568406
