"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113996211",759.764084209609,0.904435167730527,0.29400556016336,8.96112513668334,0.00275784996307405,0.297467056252007,"LOC113996211","LOC113996211","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NEO1",4809.55271889451,0.429549785581442,0.145421850697288,8.90123210280544,0.00284978301283974,0.297467056252007,"NEO1","NEO1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TMEM128",213.821028052129,-0.703443771096461,0.236433465034768,8.95519582086885,0.00276681527899967,0.297467056252007,"TMEM128","TMEM128","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ATRIP",843.88317071108,0.619783637407279,0.209433581424662,8.84055211197705,0.00294610007457312,0.304535218388156,"ATRIP","ATRIP","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"BTBD17",255.467031764265,-0.861667621062269,0.294595542952395,8.56579368690498,0.00342537615190809,0.350672883551591,"BTBD17","BTBD17","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"RAI1",849.992234933998,0.558925747573045,0.190753224001772,8.48622491090913,0.00357845563550313,0.359432237275489,"RAI1","RAI1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"XRCC6",246.582085397005,-0.680056696307177,0.234654336244613,8.488312098313,0.00357435264391824,0.359432237275489,"XRCC6","XRCC6","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TRAPPC9",303.825570523068,0.862099660888071,0.29485388829167,8.45803653897526,0.00363433976835127,0.361633789847065,"TRAPPC9","TRAPPC9","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"DMXL2",8688.38121832802,0.558334193579403,0.193603340847978,8.36440360391856,0.00382642180262249,0.367026242635331,"DMXL2","DMXL2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"METAP2",836.626390918631,-0.41506438541802,0.14308498383684,8.38196545849326,0.00378962390723329,0.367026242635331,"METAP2","METAP2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NETO2",2707.74685103649,0.425793254772345,0.146268501920145,8.36835410968536,0.00381811262567723,0.367026242635331,"NETO2","NETO2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TMEM97",504.704448427225,-0.443748276279823,0.1535301488567,8.38100480799081,0.0037916274500324,0.367026242635331,"TMEM97","TMEM97","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CACNA1D",3016.84030579914,0.359125460864767,0.124874175395584,8.28509447016771,0.00399718250592686,0.372817023464157,"CACNA1D","CACNA1D","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CDK6",720.217773734275,0.67308199860878,0.233438449277723,8.20654153723302,0.00417396322098601,0.372817023464157,"CDK6","CDK6","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"GPR155",899.673940761724,0.548997005630754,0.191889303865073,8.18198011938418,0.00423085519384327,0.372817023464157,"GPR155","GPR155","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113987004",148.407273868529,0.881373116312024,0.307643181031911,8.2874556720555,0.00399198826873534,0.372817023464157,"GJB6","LOC113987004 (GJB6)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113989956",3709.81451413733,0.772812083608245,0.271759511143597,8.25211414730649,0.00407045662038793,0.372817023464157,"DGKG","LOC113989956 (DGKG)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC114003029",2627.71794311239,-0.440774061093896,0.154603724275141,8.300022272094,0.00396445922915532,0.372817023464157,"H3F3B","LOC114003029 (H3F3B)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"MERTK",663.612600837518,-0.866987838500968,0.297036323799145,8.17936668976955,0.00423695499569485,0.372817023464157,"MERTK","MERTK","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NTNG2",145.221041698062,1.49254981889876,0.525226926023812,8.2226613500797,0.004137048440732,0.372817023464157,"NTNG2","NTNG2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
