,PFT1_VMH_run1,PFT10_VMH_run1,PFT11_VMH_run1,PFT12_VMH_run1,PFT2_VMH_run1,PFT3_VMH_run2,PFT4_VMH_run1,PFT5_VMH_run1,PFT6_VMH_run1,PFT7_VMH_run1,PFT8_VMH_run1,PFT9_VMH_run1
GREB1,1036.58306661657,1020.42976011654,1177.39962936835,1855.42421770457,2106.55377762176,2222.78201233218,2310.56736862914,2650.4449427019,1686.37769060484,1358.51934936556,1943.17616660249,890.523549851452
E2F6,1936.51676475262,1948.19346634141,1875.05284259108,1951.11656335166,1993.24946514211,2309.38390891655,1842.15592592579,1956.8084317774,1917.72547653137,2024.41990790481,1803.0432699725,2192.68498773493
LOC113988456,43.9230112973125,80.5312135010888,67.6565458666886,62.4518466328357,54.3860699902348,74.8411451963698,76.7564969135746,73.1310059441159,105.337076996333,71.9337023113385,70.0664483149935,50.9452831722799
MAEL,60.5161488985194,72.8090423434502,40.4181962320477,47.3425288990851,96.9884914825855,45.9738463349129,50.1869402896449,53.1861861411752,76.7877757543361,32.883978199469,184.041204240716,79.4746417487566
GPA33,1.95213383543611,9.92850577410684,9.66522083809837,21.1530448272508,4.53217249918624,5.34579608545499,6.88840356916695,2.21609108921563,22.642549260894,10.2762431873341,1.86843862173316,5.09452831722799
POU2F1,1623.19928416513,1142.88133133052,1363.6747946117,1383.00621656263,1572.66385721762,1503.23785922994,1559.73137958995,1479.24080205143,1416.63601680115,1538.35360514391,1464.8558794388,1644.51374080119
CREG1,522.195800979159,420.30674443719,505.227452900597,441.192077825516,607.311114890956,944.067588691351,500.885345243711,382.275712889697,365.234164164855,369.944754744026,419.464470579094,415.713510685804
RCSD1,102.487026360396,102.594559665771,152.88622052992,152.100465186422,108.77213998047,128.29910605092,130.879667814172,97.5080079254878,117.150580958538,173.668509865946,103.69834350619,99.8527550176686
MPZL1,1540.23359615909,1416.46682377258,1713.38005766289,1460.56738092922,1737.634936188,1564.17993460413,1474.11836380173,1775.08896246172,1645.03042673712,1455.1160353265,1662.91037334251,1777.99038271257
MPC2,706.672448427872,1050.21527743886,742.46469165392,830.005187507364,660.790750381353,661.809555379327,802.991044634319,793.360609939196,756.064253581155,859.093930461128,799.691730101793,711.196153085027
DCAF6,1642.72062251949,1562.08490845948,1627.27172655983,1521.00465186422,1892.63523566017,1278.71442364083,1521.35313113316,1883.67742583329,1456.01436334183,1169.43647471862,1786.2273223769,1372.46592866122
LOC113988681,3.90426767087222,8.82533846587275,8.78656439827124,9.06559064025034,9.97077949820972,32.0747765127299,56.0912862060738,6.6482732676469,2.95337599055139,3.08287295620022,9.3421931086658,2.0378113268912
GABRR3,18.545271436643,26.4760153976182,12.3011901575797,17.123893431584,29.0059039947919,11.760751388001,9.84057652738136,64.2666415872533,17.7202559433083,17.4696134184679,41.1056496781295,18.3403019420208
GRIK1,1101.00348318597,881.430679279041,849.660777312829,897.493473384783,870.177119843757,1415.56680342848,1372.7604255697,741.282469342629,826.945277354388,1202.32045291809,1119.19473441816,1176.83604127967
SLCO2B1,69.3007511579819,104.800894282239,99.2881777004651,75.5465886687528,58.0118079895838,49.1813239861859,57.0753438588119,64.2666415872533,83.678986398956,63.7127077614712,91.5534924649248,44.8318491916063
TPBGL,432.397644549098,717.058750352161,717.862311338761,634.591344817524,282.807563949221,266.220645055658,555.008516144309,579.507819829888,596.58195009138,628.906083064845,358.740215372767,462.583171204301
PGM2L1,10449.7724210895,10341.0903473864,13439.0502471559,11041.8893998249,12332.0413702857,10738.635176462,11907.0975981314,14247.2496125673,12463.2466801269,9583.62439650775,12421.379957282,12771.9824912906
LOC113988910,64.4204165693916,94.872388508132,82.5937053437497,45.3279532012517,80.672670485515,126.160787616738,69.8680933444077,52.0781405965674,63.9898131286134,84.2651941361394,101.829904884457,68.266679450855
CGGBP1,1099.05134935053,974.096733170705,1030.66400391722,943.828714434952,1176.55198078875,1328.96490684411,1047.03734251338,1041.56281193135,1155.75447096911,1255.75691749222,1088.36549715957,1178.87385260656
ZNF654,662.749437130559,466.639771383022,731.920814375995,514.724090796436,658.071446881842,787.970342996065,564.84909267169,790.036473305373,651.711635248339,592.939231909176,713.743553502067,564.473737548861
CUNH3orf38,261.585933948439,238.284138578564,237.237238753324,250.814674380259,313.626336943688,323.955242778572,295.217295821441,273.687249518131,269.741673803693,235.32596898995,268.120942218708,288.350302755104
EPHA3,783.781734927598,614.46419068639,716.104998459106,670.853707378525,709.738213372565,671.431988333146,578.625899810024,634.910097060279,658.602845892959,859.093930461128,643.677105187074,866.069813928758
PROS1,713.504916851898,744.637933058013,732.799470815822,599.336270105439,792.223752857754,866.018965843708,708.521509971458,563.995182205378,697.981192433644,758.386747225254,751.11232593673,800.85985146824
ARL13B,490.961659612182,377.28321941606,470.081195307512,452.2722441636,478.597415914067,760.172203351699,473.331730967043,447.650400021558,419.379390658297,504.563540498103,465.241216811557,453.413020233291
STX19,19.5213383543611,16.5475096235114,23.7237238753324,10.072878489167,28.0994694949547,36.3514133810939,15.7449224438102,21.0528653475485,42.3317225312365,51.3812159366703,26.1581407042642,20.378113268912
NSUN3,318.197815176086,207.39545394801,259.203649749002,225.632478157342,259.240266953453,377.413203633122,227.317317782509,228.25738218921,277.61734311183,287.734809245354,325.10832018157,334.201057610156
LOC113988940,77.1092864997263,142.308582762198,72.9284845056513,148.071313790756,27.1930349951174,54.5271200716409,2.95217295821441,47.6459584181361,57.0986024839935,112.011050741941,78.4744221127927,121.249773950026
TMEM161A,141.529703069118,289.029834757332,191.547103882313,217.574175366008,107.865705480632,119.745832314192,194.843415242151,160.666603968133,211.658612656183,179.834255778346,178.435888375517,165.062717478187
SLC25A42,622.730693504119,555.996323349983,557.946839290224,684.955737263359,658.071446881842,611.559072176051,700.649048749553,793.360609939196,603.473160736,593.966856227909,656.756175539206,597.07871877912
ARMC6,1838.91007298082,2469.99160313614,1894.38328426728,2282.51426564525,1827.37195167189,1518.20608826922,2061.6007824864,2009.99461791858,2141.19759314976,1796.287309146,1817.0565596355,1865.61626976889
SUGP2,2975.05196520463,2259.28664726342,2699.23258314893,2411.44711030659,2929.59630347398,2737.04759575295,3178.50621834418,2894.21496251562,2648.19380486108,2204.25416368316,2683.07786080882,2680.74080052537
HOMER3,160.074974505761,92.6660538916639,153.764876969747,121.881829718921,197.60272096452,180.687907688379,158.43328209084,186.151651494113,103.368159669299,140.784531666477,205.528248390648,128.382113594145
DDX49,299.652543739443,464.433436766553,383.094207764626,388.813109681848,339.912937438968,307.917854522207,326.707140709061,292.524023776463,383.93887877168,299.038676751421,287.739547746907,353.560265215622
COPE,1878.92881660726,2706.06940709823,1617.60650572174,2059.90365103466,2043.10336263316,1405.94437047466,2177.7195855095,1936.86361197446,1886.22279929882,1962.76244878081,2120.67783566714,1929.80732656596
CERS1,586.616217548551,804.208967702654,897.108225063494,879.362292104283,717.8961238711,682.123580504056,988.977941001827,794.468655483804,987.41203950768,889.92266002313,930.482433623114,779.462832535882
GDF1,1579.27627286781,2070.64503755539,2337.22612994015,2142.50125464583,1773.89231618149,2219.57453468091,2331.23257933664,2176.20144960975,2075.23886269411,2018.25416199241,2014.17683422835,2120.34268563029
UPF1,2996.52543739443,2896.91735142273,3285.29642851362,2714.64075283052,2917.8126549761,2984.02337490097,3343.82790400419,3009.45169915483,3208.35078440232,2860.9061033538,3020.33103203165,2729.64827237076
LOC113989071,6.83246842402638,3.30950192470228,9.66522083809837,9.06559064025034,12.6900829977215,8.55327373672798,7.87246122190509,3.32413663382345,4.92229331758564,6.16574591240044,11.210631730399,5.09452831722799
LOC113989124,851.130352250144,1114.19898131643,1408.48627304288,1186.58508602388,1017.92594331723,1328.96490684411,1125.76195473243,1217.74205352399,1059.27752194443,1094.41989945108,1376.10504490647,1203.32758852925
CRTC1,452.895049821178,761.185442681524,844.388838673867,783.669946457196,559.270086399582,519.611379506225,708.521509971458,650.422734684788,726.530493675641,693.64641514505,774.467808708395,636.816039653498
KLHL26,115.17589629073,131.276909679857,115.98265005718,178.289949258257,116.930050479005,114.400036228737,170.241973923698,126.317192085291,123.057332939641,135.64641007281,140.132896629987,125.325396603809
ARFIP1,187.404848201867,178.713103933923,196.819042521276,198.435706236591,204.854196963218,222.385117154927,186.970954020246,212.744744564701,158.497844826258,206.552488065415,187.778081484183,177.289585439534
TIGD4,59.5400819808014,38.6108557881933,46.5687913108376,64.4664223306691,63.4504149886073,49.1813239861859,44.2825943732161,59.8344594088221,78.7566930813703,62.6850834427378,62.5926938280609,63.1721511336271
TMEM154,40.9948105441583,36.4045211717251,37.7822269125664,40.2915139566682,47.1345939915369,42.7663686836399,37.3941908040492,42.105730695097,37.4094292136509,45.2154700242699,35.50033381293,30.5671699033679
LOC113989152,299.652543739443,167.681430851582,117.739962936835,139.005723150505,142.310216474448,94.0860111040078,151.544878521673,151.802239611271,158.497844826258,144.89502894141,166.291037334251,212.95128366013
LOC113989164,277.203004631928,562.615327199388,520.164612377658,483.498167480018,291.871908947594,302.572058436752,479.236076883472,387.815940612736,584.768446129175,341.171273819491,405.451180916096,284.274680101322
LOC113989171,46.8512120504666,16.5475096235114,20.2090981160239,37.2696504099181,14.502951997396,55.5962792887319,58.05940151155,43.2137762397048,12.7979626257227,24.6629836496018,45.7767462324624,38.7184152109327
LOC113989184,68.3246842402638,73.9122096516843,66.7778894268614,85.6194671579199,48.9474629912114,57.7345977229139,81.6767851772653,69.8068693102924,56.1141438204764,49.3259672992035,89.6850538431917,61.1343398067359
INSYN1,397.259235511248,507.456961787683,366.399735407911,419.031745149349,269.211046451662,268.35896348984,329.659313667276,323.549299025482,383.93887877168,408.994478855896,387.701014009631,388.203057772773
CD276,140.5536361514,134.586411604559,91.3802697420209,161.166055826673,129.620133476726,91.9476926698258,142.68835964703,109.696508916174,138.808671555915,131.535912797876,93.421931086658,132.457736247928
NPTN,3759.80976704995,5329.40126607891,4424.9138309694,4912.54283916677,4133.34131925785,4123.74710031998,4600.46952655079,5023.87849925184,4422.18831651894,3803.23760363234,4048.90649329576,4405.74808873876
REC114,8.78460225946249,13.2380076988091,6.15059507878987,16.1166055826673,5.43860699902348,6.41495530254598,2.95217295821441,9.97240990147035,15.7513386162741,24.6629836496018,10.2764124195324,19.3592076054664
HCN4,166.907442929787,201.879617406839,187.153821683178,218.581463214925,174.941858468589,128.29910605092,206.652107075009,150.694194066663,195.907274039909,189.082874646947,142.935554562587,153.854755180285
LOC113989308,37.0905428732861,30.8886846305546,28.117006074468,36.2623625610014,52.5732009905603,41.6972094665489,44.2825943732161,14.4045920799016,45.2850985217879,27.745856605802,36.4345531237966,48.9074718453887
NEO1,2847.18719898357,3064.59878227431,4018.97455576927,3291.81669025979,3286.73149640986,3033.20469888716,3584.92202892503,3257.65390114698,3620.838964416,3145.55803964296,3367.86061567402,2941.58065036744
LOC113989312,92.7263571832152,83.8407154257911,52.7193863896275,102.743360589504,72.5147599869798,113.330877011646,79.708669871789,80.8873247563706,74.8188584273018,142.839780303944,69.1322290041269,77.4368304218654
