,PFT1_LS_run2,PFT10_LS_run2,PFT11_LS_run2,PFT12_LS_run2,PFT2_LS_run2,PFT3_LS_run2,PFT4_LS_run2,PFT5_LS_run2,PFT6_LS_run2,PFT7_LS_run2,PFT8_LS_run2,PFT9_LS_run2
LANCL3,288.119179487497,494.154638919415,284.2062863513,1265.11571345177,188.087789148635,395.694470173062,391.66406203096,293.658206293872,232.611314355167,2274.76895533884,394.587318772776,588.920370808548
PRRG1,228.80052488713,362.380068540904,342.631968911324,344.249173728372,213.591218185738,230.28869857647,297.628168349867,280.390516250474,384.009195681159,311.070854917159,432.167063417802,349.469231029248
CFAP47,52.9630844646135,65.8872851892553,40.6008980501858,118.028288135442,130.705073815153,74.9352114415499,125.989838135833,36.2650194519541,60.1580985401294,86.1271096676174,71.2037266958393,50.1553063051236
LOC113998953,113.341000754273,207.885744648857,177.257579292274,238.515498940372,242.282575852478,176.371900100233,147.901114333369,214.052066033485,269.708808454913,182.386820472602,201.743892304878,180.397311387783
LOC113998955,19.0667104072609,9.08790140541453,15.8442528976335,25.8186880296279,20.1902146543732,31.0706974269841,23.7372158806642,15.9212280520774,17.04479458637,15.1989017060501,15.8230503768532,17.7970441727858
LOC113998957,13.7704019607995,7.95191372973771,3.96106322440837,9.83569067795348,8.50114301236767,9.13844041970121,17.3464269897162,14.1522027129577,7.01844482968176,11.1458612511034,12.8562284311932,10.5164351930098
LOC113998959,28.6000656108913,18.1758028108291,15.8442528976335,40.5722240465581,58.4453582100277,41.1229818886554,21.9112761975362,28.3044054259154,24.0632394160518,15.1989017060501,19.7788129710665,20.2239138327111
ADCY1,774.320294872649,899.702239136038,882.326833236964,919.637078388651,727.910370433981,721.022949114425,565.128331928121,989.769677237478,857.252904196844,804.52853030692,808.953450516618,432.791756020018
LOC113998962,124.992879336488,143.134447135279,151.51066833362,102.045290783767,40.3804293087464,63.0552388959383,158.856752432137,136.214951112218,109.287212347902,70.9282079615673,132.518046906145,44.4926104319645
ZIC2,4634.26989065368,4186.11458486907,6330.76929841067,4078.12324734646,3749.00406845414,4730.05676123734,5286.09538265561,4986.88243097846,4214.07480273606,3244.45888418483,5190.94946425639,3285.9815195389
LOC113998967,19.0667104072609,12.495864432445,43.571695468492,24.5892266948837,17.0022860247353,41.1229818886554,12.7815777818961,33.6114814432745,13.0342546836947,55.7293062555171,19.7788129710665,16.9880876194773
LOC113998968,5.29630844646135,5.67993837838408,15.8442528976335,14.7535360169302,24.440786160557,5.48306425182072,22.8242460391002,6.19158868691899,19.0500645377076,15.1989017060501,1.97788129710665,17.7970441727858
SGF29,62.4964396682439,80.6551249730539,82.1920619064736,61.4730667372093,80.7608586174928,63.9690829379084,81.2543158991967,71.6455262343483,57.1501936131229,46.6099652318871,65.2700828045193,58.244871838208
LOC113998973,0,23.8557411892131,0,19.671381355907,10.6264287654596,9.13844041970121,0,30.0734307650351,28.073779318727,22.2917225022069,0,5.66269587315911
LRFN5,1046.55054902076,1358.64126010947,1202.18268860794,1049.95997987153,1050.95380490395,1242.82789707936,964.096152691593,1239.20225005336,1245.27263978068,1038.59161658009,1107.61352637972,894.70594795914
TCIRG1,147.237374811626,355.564142486843,234.692996046196,237.286037605628,157.271145728802,178.199588184174,160.682692115265,191.054736624929,314.82738236001,245.208947524275,155.263681822872,247.540705312384
NDUFS8,533.867891403304,556.63396108164,574.354167539213,497.931840571395,583.390939223731,596.740159406489,479.309166821104,564.319083179188,475.248978467022,533.988079939228,484.580917791128,616.424893621035
LOC113998979,24.3630188537222,13.6318521081218,8.91239225491883,11.0651520126977,26.566071913649,12.7938165875817,8.21672857407608,19.4592787303168,15.0395246350323,12.1591213648401,11.8672877826399,11.3253917463182
LOC113998978,243.630188537222,262.413153081344,275.293894096382,197.943274893814,309.229077074874,329.897699151214,246.501857222282,269.776364215756,223.587599574148,217.850924453385,276.903381594931,247.540705312384
UNC93B1,33.8963740573526,37.4875932973349,46.5424928867983,34.4249173728372,49.94421519766,39.2952938047152,35.6058238209963,30.9579434345949,30.0790492700647,33.4375837533103,43.5133885363462,35.5940883455716
MAX,701.231238311483,562.313899460024,593.169217855153,494.243456567163,689.655226878327,700.918380191083,576.996939868453,590.854463265983,541.422886861165,600.863247445848,544.906297352881,744.240029043769
LOC113998982,356.971189291495,274.909017513789,292.128412800117,279.08772298693,376.175578297269,397.522158257002,318.626474705839,345.844453797903,326.859002068036,274.593490822639,364.919099316176,347.851317922631
RAB15,629.201443439608,691.816494487181,676.351545567729,604.894976694139,589.766796483007,676.244591057889,673.771743074238,764.218946499715,674.773338625118,584.651085626062,568.640872918161,655.25480817984
CHURC1,695.934929865021,728.168100108839,747.650683607079,533.586219278977,649.27479756958,806.924289059617,670.119863707982,671.34511619593,614.615240084989,601.876507559585,677.424344259026,739.386289723918
LOC113999000,0,21.5837658378595,22.7761135403481,29.5070720338605,10.6264287654596,22.846101049253,0.912969841564008,9.72963936515841,27.0711443430582,24.3182427296802,24.7235162138331,16.9880876194773
TUBE1,266.933945701652,245.373337946192,313.914260534363,243.433344279349,277.349790778495,261.359396003454,210.896033401286,252.086110824559,251.661378892875,244.195687410539,255.146687326757,266.146706038478
CCN6,14.8296636500918,13.6318521081218,3.96106322440837,20.9008426906512,29.7540005432868,18.2768808394024,32.8669142963043,4.42256334779928,14.0368896593635,27.3580230708902,1.97788129710665,16.9880876194773
FYN,1878.07097511519,1980.02651870469,2166.70158375138,1981.89167160763,1637.53267275732,1593.74400919589,1945.5387323729,1888.43454951029,1866.90632469535,1770.16541869797,2140.06756346939,1641.37284666283
TRAF3IP2,204.437506033408,236.285436540778,185.179705741091,220.073578919209,266.723362013036,180.027276268114,199.027425460954,201.668888659647,194.511185279752,133.750335013241,198.777070359218,225.698878373056
