,PFT1_POM_run1,PFT10_POM_run1,PFT11_POM_run1,PFT12_POM_run1,PFT3_POM_run1,PFT4_POM_run1,PFT5_POM_run1,PFT6_POM_run1,PFT7_POM_run1,PFT8_POM_run1,PFT9_POM_run1
NDUFS3,837.173300391882,898.220109395109,814.247748131919,811.80891676819,1048.53745950904,826.73408224424,930.94907340886,836.548345342553,798.201828564444,918.503762425556,862.651553589584
FAM180B,150.321172722299,116.717867322528,160.424527696094,149.107760222729,111.665331151123,111.665446052816,124.126543121181,157.185835589843,135.15008233648,135.828374381442,162.159636303179
C1QTNF4,2750.87746081808,3034.66455038574,3358.65537345136,3169.57537529009,3136.67915203504,2761.92699594854,2659.41118637131,2872.85976346408,3017.74714049307,3271.27917041739,3134.7720390004
FUT8,930.834954165007,903.294799278698,904.719720146576,893.61109077927,959.205194588145,802.147195039951,859.576311114181,855.197512276941,916.118007784191,904.256030847084,935.246274492751
SYT13,4554.73153348567,5413.67916781188,4915.33291254892,4907.09497010772,4962.4073163559,5621.17708708073,5678.78934779405,5393.16146631139,6045.4718038432,4574.47168546172,4976.98093049116
PRDM11,1434.98904114133,1228.07495182834,1236.76118444779,1242.56466852274,1097.67020521554,1330.76526993218,1287.81288488226,1267.25529597009,1276.21587817065,1290.84448100965,1310.47613058964
LOC113987136,279.828644606126,244.600052388951,262.088908619781,274.399697632105,267.996794762695,255.088954744505,268.940843429226,283.289726289039,293.883400516909,238.412041746447,256.43849461898
TP53I11,3066.5519235349,3369.59408270256,3085.37405592255,3528.88365860458,2958.01462219324,3178.87962478795,3039.03153075026,3121.51532258925,3169.22407841382,3110.7547279666,3288.44657805516
TSPAN18,1617.68708183459,1714.23024267609,1930.69053680764,1823.46365105712,1861.46107028922,1645.27253542038,1824.66018388137,1905.76724958081,1833.14306310084,1578.6486588948,1967.59977305078
CD82,1898.67204315396,1405.68909775393,1719.90016902091,1336.79248921905,1730.8126328424,1785.62268321154,1559.85689188951,1662.44002386546,1356.94310855955,1817.06070064125,1865.77860606971
ALX4,26.5952844047145,21.3136975110704,33.5772267270894,39.3478811698867,26.7996794762695,22.5379799372655,29.9972479209522,44.4027784152098,22.6761883114899,37.9939508759279,55.6245264063229
EXT2,2668.77897417744,2500.80717463226,2452.07025181995,2623.88239169718,2724.6340800874,2689.19078796918,2900.42355759827,2792.04670674839,2827.26715867656,2494.30287500467,2636.03687850981
ACCS,372.333981666003,441.498019872172,391.734311816043,428.684810640345,351.745793126037,424.123804273997,443.752391658223,421.826394944493,429.033482853388,361.892382093213,410.113033673737
CUNH11orf96,265.952844047145,757.143730631358,615.58248999664,326.173225487219,265.763488139672,231.526521173728,459.268209548371,533.721396550822,433.568720515686,592.705633664475,159.331270553705
ALKBH3,639.443142426396,422.214198314537,535.370226148593,555.012218606824,552.743389198058,503.006734054426,619.598327746563,608.318064288375,644.003748046312,397.986635425345,656.180853877979
HSD17B12,1918.32942727919,2292.74488940514,1718.03476753608,1678.4977730628,1983.17628124394,1640.15026725282,1943.61478770583,1872.02113798525,1943.80286206091,1650.83716555907,1956.28631005288
LOC113987110,314.51814600358,312.600896829032,362.82058880105,241.264639804832,349.512486503014,235.624335707776,298.938091350178,237.11083673722,249.438071426389,278.305690166172,252.667340286348
TTC17,1466.20959239904,1456.43599658981,1510.97520271902,1391.67242874547,1450.53265165309,1385.06131250832,1467.79637240797,1552.32113339574,1541.07375764885,1457.06801609183,1443.40932081492
SETD2,1056.87347590909,1176.31311501574,1343.08906908358,1180.4364350966,960.321847899656,1343.05871353432,1133.68909384012,1293.00890745091,1250.81854726178,1250.95083258993,1215.25448369068
SOCS7,314.51814600358,352.18347792102,347.897376922343,345.847166072162,317.129540469189,421.050443373461,303.075642787551,336.573060387291,424.49824519109,431.231342441781,337.518312770569
LOC113987175,270.578110900139,417.139508430949,415.984531118941,284.754403203128,270.230101385717,467.150856881504,381.689120097633,403.177228010105,291.16225791953,272.606597534783,336.575524187411
MRPL45,6.93790027949073,23.3435734645057,11.1924089090298,38.3124106127845,20.0997596072021,54.2960425761397,39.3067386550408,25.7536114808217,22.6761883114899,20.8966729817603,19.7985602463183
LOC113987171,521.498837675054,801.801001606934,628.640300390508,723.793919414496,487.977497130407,643.35688184558,696.143029337959,787.705289085822,545.135567008217,710.486881379851,653.352488128504
LOC113987173,27.7516011179629,12.1792557206117,18.654014848383,21.7448816991479,29.0329860992919,13.3178972356569,15.5158178901477,7.99250011473777,12.6986654544343,24.6960680693531,15.0846173305282
LOC113987176,53.190568809429,63.9410925332112,70.8852564238555,75.5893506684666,73.6991185597411,90.1519197490622,69.3039865759929,80.8130567156819,57.1439945449545,100.683969821209,68.8235665705351
