,PFT1_PIT_run1,PFT10_PIT_run2,PFT11_PIT_run2,PFT12_PIT_run1,PFT2_PIT_run1,PFT3_PIT_run2,PFT4_PIT_run1,PFT5_PIT_run1,PFT6_PIT_run1,PFT7_PIT_run1,PFT8_PIT_run2,PFT9_PIT_run1
LOC113999689,341.812825050189,165.016863428246,173.757856171518,213.727851143342,231.377775706368,261.702984983264,493.14786006851,445.477373850883,256.792908738571,543.378886703122,86.3456931759438,335.999704411628
LOC113999691,14.2422010437579,4.28615229683755,2.21347587479641,1.00815024124218,8.59849842152042,3.0909801375976,15.47535125738,11.0366016044138,8.20424628557736,19.5534069078775,0,3.00895257682055
LOC113999695,6.10380044732481,17.1446091873502,8.85390349918562,17.1385541011171,19.5420418670919,4.12130685013014,7.22183058677734,16.0532386973291,12.306369428366,5.14563339680987,2.30255181802517,16.0477470763763
LOC113999698,5.08650037277068,23.5738376326065,35.4156139967425,27.2200565135389,46.9009004810205,37.0917616511712,20.6338016765067,17.0565661159122,9.02467091413509,2.05825335872395,132.396729536447,39.1163834986672
LOC113999701,79.3494058152226,30.0030660778628,15.4943311235748,36.2934086847185,53.9360355531736,64.9105828895496,125.866190226691,126.419254741467,88.6058598842355,173.922408812174,14.9665868171636,50.1492096136759
LOC113999703,465.923434145794,427.543691609545,293.285553410524,307.485823578865,550.303898977307,349.280755548529,674.725314821769,669.219388194908,361.807261193961,527.941986512692,253.280699982768,368.095198564381
LOC113999702,45.7785033549361,49.2907514136318,44.2695174959281,36.2934086847185,51.5909905291225,32.9704548010411,132.056330729643,118.392635392802,66.4543949131766,120.407821485351,23.0255181802517,30.0895257682055
LOC113999706,11.1903008200955,9.64384266788448,3.32021381219461,5.0407512062109,6.2534533974694,11.3335938378579,38.1725331015374,32.1064773946583,21.3310403425011,47.3398272506508,2.30255181802517,7.02088934591462
LOC113999710,6.10380044732481,4.28615229683755,2.21347587479641,7.05705168869526,0.781681674683675,19.5762075381181,5.15845041912667,5.01663709291535,2.46127388567321,4.11650671744789,3.45382772703775,3.00895257682055
THUMPD2,509.667337351622,317.175269965979,364.116781404009,361.925936605943,317.362759921572,380.190556924505,473.545748475829,360.194543271322,386.420000050694,424.000191897133,231.406457711529,436.29812363898
MAPK15,448.629332878374,651.495149119307,564.436348073083,446.610556870286,434.615011124123,406.979051450351,525.130252667095,375.244454550068,768.737876958598,543.378886703122,277.457494072033,621.850199209581
FAM83H,96.6435070826428,99.653040901473,77.4716556178742,44.3586106146559,71.1330323962144,71.0925431647449,85.6302769575028,73.2429015565642,75.4790658273117,106.000047974283,107.06865953817,61.1820357286846
ARF1,8037.68788905222,8540.15845144881,8690.10628445069,8720.49958674486,8431.21854313812,8224.06781943469,6230.3764162212,6396.21229346708,8657.94110516978,6568.91559436748,11497.7925033087,6979.76699403141
CUNH1orf35,190.235113941623,252.882985513415,160.477000922739,189.53224535353,257.173270970929,176.185867843063,219.749987854796,197.655501460865,155.88067942597,229.49524949772,156.573523625711,243.725158722465
MRPL55,219.736816103693,394.326011309054,572.183513634871,550.45003171823,392.404200691205,333.825854860541,507.591521242065,521.730257663197,459.437791992332,403.417658309894,558.368815871103,520.548795789956
GUK1,415.058430418087,715.787433571871,649.655169252745,452.659458317739,524.508403712746,501.769109003344,324.98237640498,334.108030388163,342.937494737134,289.184596900715,527.284366327763,517.539843213135
GJC2,23.3979017147451,47.147675265213,48.6964692455209,39.317859408445,104.745344407612,95.8203842655257,91.8204174604548,62.2062999521504,36.9191082850981,14.4077735110676,80.5893136308808,170.507312686498
IBA57,318.414923335444,272.170670849184,283.32491197394,338.738481057372,465.100596436787,411.100358300481,343.552797913836,386.281056154482,255.152059481456,366.369097852863,283.213873617095,369.098182756654
LOC113999723,317.39762326089,373.966787899076,275.577746412152,434.51275397538,352.538435282337,347.220102123464,273.397872213714,288.958296551924,542.300679476663,250.07778308496,541.099677235914,388.154882409851
OBSCN,97.660807157197,274.313746997603,75.2581797430778,106.863925571671,132.104203021541,123.639205503904,152.69013240615,127.42258216005,94.3488322841396,128.640834920247,55.261243632604,154.459565610122
LOC113999717,10.1730007455414,11.7869188163033,9.96064143658382,9.07335217117962,3.90840837341837,14.4245739754555,13.4119710897294,5.01663709291535,3.28169851423094,4.11650671744789,12.6640349991384,13.0387944995557
HIGD1A,1346.90529870967,1605.16403516566,1293.7766488185,1233.97589528043,1837.73361718132,1503.24667358497,1037.88022432829,1171.88642490503,950.872144498416,784.194529673824,2172.45764030674,1146.41093176863
CCDC13,314.345723037228,351.464488340679,284.431649911338,313.534725026318,213.399097188643,255.521024708068,503.464760906763,427.417480316388,525.071762276951,395.184644874998,142.75821271756,267.796779337029
HHATL,1730.42742681658,1660.88401502455,2880.83885104752,1221.87809238552,998.207498571053,998.386584444026,3126.02095399076,2009.66481942189,1052.60479843958,2325.82629535806,1157.03228855765,1584.71502379216
