,PFT1_TNA_run2,PFT10_TNA_run1,PFT11_TNA_run1,PFT12_TNA_run1,PFT2_TNA_run1,PFT3_TNA_run1,PFT4_TNA_run1,PFT5_TNA_run1,PFT6_TNA_run1,PFT7_TNA_run1,PFT8_TNA_run2,PFT9_TNA_run2
MRPS2,266.871982111765,241.378882156376,271.653837188516,271.432737718254,259.123353745752,241.694221950349,239.051665461232,253.352057363202,217.746408749313,300.095200954955,262.449336746076,243.549621474067
LOC113993482,41.6987472049632,84.3758039396183,21.8049902760013,31.6331386062627,25.9123353745752,31.3307324750453,33.0994613715552,40.9457870485983,38.4772770480714,39.2851899431941,40.8481457970546,61.9746804643832
DIPK1B,1132.12098661475,1258.16072203633,1070.26160604706,1338.79605972312,1028.52038871391,1256.58616319557,1377.30536484971,1260.78902620476,1311.72535391153,1358.61281886879,1241.78363223046,1272.11186216366
AGPAT2,84.4399630900505,76.8994668816774,66.323512089504,54.0824627784492,83.7167758255506,93.9921974251358,91.0235187717769,97.246244240421,87.448356927435,96.0304643055855,75.5690697245511,102.203859011439
EGFL7,187.644362422334,83.3077557884839,81.7687135350049,121.430435295009,86.7066606764631,137.631431943949,193.080191334072,62.2717178030766,83.0759390810633,128.768122591581,75.5690697245511,201.145892735279
NOTCH1,274.169262872633,589.562579426194,531.496637977532,633.683195951263,420.577135695028,461.009349275666,670.264092773993,479.406923360672,447.735587468467,555.448935585716,503.453396948698,600.175852918238
SEC16A,927.797125310432,1775.09602718539,1599.0326202401,1631.65769778755,1652.40969427099,1626.96017923985,1642.10105582216,1673.65904561146,1626.53943885029,1663.07304092855,1536.91148561418,1546.10518632198
INPP5E,272.084325512385,229.630352493898,253.483011958515,247.962989720059,298.988485091252,278.619728081652,279.506562693133,243.968647831232,215.997441610765,233.528629106765,257.343318521444,215.280468981542
PMPCA,989.302777437752,867.25509872114,859.480033379051,856.135590021111,957.759780575644,877.260509301267,871.619149450954,916.161985212388,837.755259364828,784.612543587682,922.146891368508,923.09655639055
ENTR1,131.351053695634,67.2870335214677,58.1466407360035,52.0416151264322,99.6628283637507,78.3268311876131,103.895531527382,70.8020901048679,65.5862676955763,73.114103505389,94.971938978152,64.149230656116
SNAPC4,423.242284130377,402.654152977672,437.916888043026,458.170297877805,467.418665025991,492.340081750711,454.198164376341,519.499673179091,501.079085194203,469.239768765929,559.619597419648,452.306439880411
CARD9,52.123434006204,14.9526741158817,15.4452014455009,36.7352577363051,13.9527959709251,15.6653662375226,17.4691601683208,22.1789679846574,21.8620892318588,24.0076160763964,19.402869253601,17.396401533862
DNLZ,169.922394860225,117.485296624785,149.909308147509,135.716368859127,100.659456647388,146.583069793962,85.5069418765177,142.457217439915,108.435962590019,146.228207010778,137.862492065059,123.949360928766
GPSM1,509.767184580675,437.899741965108,456.996254534527,404.087835099356,367.75583666224,675.848657675976,337.430620093355,512.675375337658,348.918944140466,541.262616995118,556.555986484869,263.120573199662
QSOX2,449.304001133479,603.447205390941,610.539727728036,646.948705689373,721.558877353555,555.001546700802,577.40171503713,621.864140800587,624.381268461886,602.372912462309,619.870612470304,659.975983190888
CDIPT,600.46195975147,485.961908766156,504.24040013253,352.046219972924,415.593994276841,328.972690987975,392.596389045947,407.751796025625,418.877629682414,486.699853185127,415.629883485031,350.102580868972
LOC113993503,604.631834471967,654.713516645392,591.460361236535,937.769496101789,330.880590167652,494.577991213214,355.819209744219,896.542128918268,478.34251239307,496.521150670925,710.757736868751,293.564275883921
UNC5C,2147.48548105561,5565.5989155614,6449.73441538889,5583.75917591838,5820.30917644304,4647.01899888796,4702.88180320847,4904.11103629983,5779.46190933418,5079.79331071023,4914.03193938567,5352.65529695015
BMPR1B,36.4864038043428,74.7633705794086,101.756621288006,69.3888201685763,55.8111838837004,71.6131028001034,63.4406342954808,71.6551273350471,164.402911023578,50.1977427051924,64.335829630361,77.1965318065125
PDLIM5,160.540176739108,157.003078216758,187.159499869011,139.798064163161,222.248107251164,132.036658287691,136.075563416394,135.632919598482,168.77532886995,190.969673334971,222.622394593948,233.76414561127
LOC113993535,9.38221812111672,22.4290111738226,14.5366601840009,18.3676288681526,6.97639798546255,19.0222304312775,16.5497306857776,16.2077073734035,36.7283099095227,21.8251055239967,27.5724984130119,17.396401533862
LOC113993518,11.4671554813649,7.47633705794086,12.7195776610008,11.2246620860932,2.98988485091252,7.83268311876131,11.0331537905184,8.53037230179132,6.9958685541948,6.54753165719901,16.3392583188219,6.52365057519824
HPGDS,13.552092841613,25.6331556272258,24.5306140605015,51.0211913004238,17.9393091054751,22.3790946250323,16.5497306857776,6.82429784143305,19.2386385240357,44.7414663241932,37.7845348622755,16.3091264379956
SMARCAD1,521.23434006204,553.248942287624,523.319766624031,505.109793874195,568.078121673379,531.503497344518,450.520446446168,496.467667964255,537.807395103726,481.243576804127,514.686637042888,579.517626096777
GRID2,410.732659968888,588.494531275059,615.082434035537,555.110561348611,767.403778400881,568.429003475821,452.359305411255,545.943827314644,533.434977257354,567.452743623914,572.895244803691,590.39037705544
CCSER1,39.6138098447151,77.9675150328118,75.4089247045045,107.14450173089,126.571792021963,83.9216048438712,77.2320765336289,98.0992814706001,63.8373005570276,73.114103505389,35.7421275724228,80.4583570941116
MMRN1,33.3589977639706,9.61243336020968,5.45124756900033,1.02042382600848,5.97976970182504,7.83268311876131,6.4360063778024,5.97126061125392,8.74483569274351,25.0988713525962,6.12722186955819,8.69820076693098
SNCA,15298.2278808209,9268.5218555444,7839.80254548397,11412.4200700788,9461.98892485449,8134.80089619925,13625.9449312902,10379.7570168197,8967.82900290846,9613.95898332055,7714.17233377377,12319.9141112619
GPRIN3,1035.17139936321,1413.02770395082,1500.00162273659,1318.38758320295,1510.88847799446,1491.5666567584,1389.25794812278,1365.71260551679,1386.93094086912,1743.82593136734,1280.58937073766,1211.22445679514
FAM13A,629.651082794945,485.961908766156,435.191264258526,700.010744641814,649.801640931655,998.107620276442,1034.3581678611,598.832135585751,685.595118311091,583.821572766912,552.471171905164,652.365057519824
LOC113993519,1695.05407388175,1095.8174030639,1366.44605729608,923.48356253767,2422.80335752278,1744.45042602127,1576.82156256159,1607.97517888766,1064.24650380688,861.00041292167,1676.81638496909,1130.76609970103
LOC113993526,28.1466543633502,40.5858297431075,17.262283968501,36.7352577363051,10.9629111200126,17.9032757000259,22.98573706358,26.4441541355531,20.1131220933101,21.8251055239967,40.8481457970546,25.0073272049266
PYURF,50.0384966459559,19.2248667204194,21.8049902760013,20.4084765201695,15.9460525382001,19.0222304312775,15.6303012032344,32.415414746807,21.8620892318588,26.190126628796,12.2544437391164,16.3091264379956
IGFBP7,1349.99694076068,1316.90337034873,1504.54432904409,1036.75060722461,1153.0989241686,1231.96915910803,1069.29648819774,1159.27759581344,1515.48002555245,1082.52523399024,1006.9067938974,1050.30774260692
POLR2B,1390.65321928552,1296.61045547717,1195.64030013407,1265.32554425051,1289.63699902693,1161.47501103918,1280.76526918268,1254.8177655935,1193.67007205949,1318.2363736494,1269.35613064347,1164.47162767289
NOA1,387.798349006158,302.257626771038,272.562378450016,338.780710234814,283.042432553052,251.764814531614,363.174645604564,340.361854841474,285.956127152713,320.829051202752,273.682576840266,315.309777801248
FEN1,878.8010973446,411.198538186747,443.368135612026,427.557583097551,514.260194356954,539.336180463279,401.790683871379,423.959503399029,438.990751775724,425.589557717936,566.768022934133,397.942685087092
TMEM258,367.9914440838,265.943989632468,206.238866360512,296.943333368466,254.140212327564,303.236732169188,269.392838385158,259.323317974456,258.847136505208,301.186456231155,267.555354970708,253.335097336865
MYRF,306.48579195648,242.446930307511,493.337904994529,334.69901493078,333.870475018565,389.396246475562,302.492299756713,331.831482539682,232.612629426977,357.931730593546,391.120996006798,307.698852130183
DAGLA,2985.63029987537,2899.75073032992,3554.21341498821,3590.87144372382,2949.02309128338,3723.88134560538,3994.00167216766,3193.77138979067,3629.10681248855,3212.65553313232,3191.26139039489,3273.78531365365
LOC113993545,750.577449689338,1050.95938071626,1273.77484862308,769.39956481039,881.019402735556,922.018698551332,629.809195542092,742.142390255845,1217.2811284299,1067.24766012344,903.765225759834,704.554262121409
MYC,74.0152762888097,97.1923817532312,55.4210169515033,81.633906080678,54.8145556000629,51.4719176375744,73.5543586034561,105.776616542212,67.335234834125,103.669251238984,72.505458789772,63.0619555602496
LOC113993556,2.08493736024816,40.5858297431075,19.0793664915011,10.2042382600848,20.9291939563877,13.4274567750194,11.0331537905184,33.2684519769861,11.3682864005666,17.4600844191974,10.2120364492637,18.4836766297283
DENND4B,464.94103133534,451.784367929855,375.227540999522,452.047754921755,408.617596291378,306.593596362943,463.392459201773,439.314173542253,324.433404200784,421.224536613136,387.036181427093,322.920703472313
GATAD2B,1498.0274933383,1778.30017163879,1983.34557385462,2001.05112280262,1801.90393681661,1758.99683752754,2132.15697001768,1872.41672024319,1794.44028415097,1661.98178565235,2127.16719238162,2064.73540705024
SLC27A3,624.438739394324,411.198538186747,340.70297306252,438.782245183644,420.577135695028,403.942657981833,533.269099875056,383.01371635043,283.33267644489,295.730179850155,516.729044332741,400.117235278825
INTS3,606.716771832215,576.746001612581,512.417271486031,585.723276128865,548.145556000629,480.031579706943,627.050907094463,606.509470657363,473.970094546698,619.832996881506,677.058016586181,526.241146399324
LOC113993563,11.4671554813649,3.20414445340323,6.35978883050038,5.10211913004238,5.97976970182504,2.23790946250323,2.7582884476296,7.67733507161219,6.12138498492045,4.36502110479934,7.14842551448456,4.34910038346549
TUT7,903.820345667578,904.636784010844,1079.34701866206,1040.83230252864,1430.16158701982,1189.44887932047,1135.49541094085,1062.8843888032,949.689156231945,822.806478254676,1063.07299436835,983.983961759067
ISCA1,1970.26580543451,1781.50431609219,1732.5881856806,1571.45269205305,2183.61256944978,2156.22576712186,1565.78840877107,1983.31156016648,2208.07101241773,1730.73086805294,1616.56536991844,1686.36367368874
GOLM1,19.8069049223575,18.1568185692849,27.2562378450016,14.2859335641187,32.8887333600377,20.1411851625291,13.791442238148,31.5623775166279,29.7324413553279,29.4638924573956,32.6785166376437,26.0946023007929
NAA35,454.516344534099,740.157368736145,695.942606309042,715.317102031941,796.305998626368,739.629077357318,671.183522256536,683.282821373485,756.428287422313,778.065011930483,653.570332752874,815.456321899779
AGTPBP1,663.010080558915,1307.29093698852,1182.01218121157,1225.52901503618,1181.00451611045,1142.4527806079,1267.89325642707,1066.29653772391,1341.45779526685,1249.48729124881,850.662636223663,1023.12586521026
LOC113993566,127.181178975138,70.491177974871,52.6953931670031,88.7768728627373,80.7268909746381,50.3529629063227,84.5875123939744,92.1280208593462,91.8207747738068,82.9354009911875,115.396011876679,33.7055279718576
NTRK2,9480.21017704839,15202.5973832472,13937.9314926723,13158.3652363793,13659.7872555357,13888.4661242951,13843.849718653,14329.3193925491,16514.6222057461,13231.470223923,12938.6501812171,12908.1299381256
