"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"SYT7",2216.37982675354,-0.610929213547022,0.173739469532501,12.3607189329717,0.000438461815857841,0.118129585225118,"SYT7","SYT7","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TWSG1",1288.829764544,0.717242911002907,0.204529763002547,12.4420706143749,0.000419770149279067,0.118129585225118,"TWSG1","TWSG1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990296",141.17000160002,1.06834745286857,0.312839334415747,12.2844851164478,0.000456739390380921,0.120809678896834,"GCNA","LOC113990296 (GCNA)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TNR",5310.16284531846,-0.699845504751631,0.200276969437049,12.2521783776145,0.000464715325760529,0.120809678896834,"TNR","TNR","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ATRN",1387.64463579894,-0.56558798529809,0.160327148690679,12.0728417053689,0.000511616576865569,0.13070921441369,"ATRN","ATRN","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990369",104.817601957581,1.58334210617326,0.438155428853142,12.0128681818966,0.000528344864562367,0.132695155984494,"PLRG1","LOC113990369 (PLRG1)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GOLGA2",1321.72715215572,-0.477677024610885,0.139913909191965,11.9478850172985,0.000547094492558592,0.135114103178887,"GOLGA2","GOLGA2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DBN1",4852.74953983618,-0.575831664836118,0.168462933693295,11.7321291840216,0.000614302713491906,0.145070160383392,"DBN1","DBN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PRTFDC1",367.659192520275,0.955847885826729,0.281962454453005,11.7246446473952,0.000616778249706687,0.145070160383392,"PRTFDC1","PRTFDC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TC2N",63.8762137892705,-2.45862114719751,0.71342040789534,11.7276598544197,0.000615779750145228,0.145070160383392,"TC2N","TC2N","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CDC25A",108.077381358908,-0.964804102286642,0.284397784863718,11.6635580655768,0.000637363244280299,0.147569508652273,"CDC25A","CDC25A","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NAAA",1071.42937612293,0.564482627351589,0.167272893094608,11.6091982164764,0.000656264382116537,0.149608086372352,"NAAA","NAAA","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113992343",84.9359211263802,0.951830820766681,0.281841313970648,11.5625042394793,0.000672951568454655,0.151087823353956,"LOC113992343","LOC113992343","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"STAT3",1524.47338870512,-0.632878405480237,0.18647937576393,11.4942551275497,0.000698116299723305,0.15439831834776,"STAT3","STAT3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SGK1",419.211746292384,-0.899814202586452,0.263003340321708,11.3584795253234,0.000751042837068164,0.163661069995236,"SGK1","SGK1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"AMIGO3",431.10968262341,-1.55124687231335,0.46224633105138,11.1451512862244,0.000842516015499998,0.164268451548408,"AMIGO3","AMIGO3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ASTN1",9166.17426362948,-0.545381104866351,0.160832828442563,11.2483569013496,0.000796935313667454,0.164268451548408,"ASTN1","ASTN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"FEZF1",14.1304871426756,3.11457474929215,1.03214833248571,11.1917717623357,0.000821608553402057,0.164268451548408,"FEZF1","FEZF1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GABPB1",423.547072286541,0.596173848343794,0.178278211982152,11.1989763402922,0.000818424685781424,0.164268451548408,"GABPB1","GABPB1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GALNT1",1024.02067293624,0.645244098465655,0.190665118515225,11.1530198271239,0.000838949929457528,0.164268451548408,"GALNT1","GALNT1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996216",55.4508160328785,-2.8207881857076,0.827025428117189,11.2325539628299,0.000803749647972178,0.164268451548408,"RORC","LOC113996216 (RORC)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SDC2",3069.01170859487,0.798191777754912,0.234885965728885,11.2272415025522,0.000806053617365976,0.164268451548408,"SDC2","SDC2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TMEM159",1092.3093615867,0.594423984237675,0.176534520206995,11.2543703777778,0.000794357623449327,0.164268451548408,"TMEM159","TMEM159","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ADGRG2",25.4869922877799,2.35618323824721,0.750397567515346,10.9624955554248,0.00092974519380565,0.17350556599997,"ADGRG2","ADGRG2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GORASP1",615.114775791926,0.620739294780404,0.186619388284782,10.9377665183387,0.000942236855439277,0.17350556599997,"GORASP1","GORASP1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"HMGN1",710.3912556073,0.724369554458855,0.220550113710008,10.9256137633295,0.000948437767984719,0.17350556599997,"HMGN1","HMGN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"KAZALD1",80.0830131063481,-1.25387636138405,0.367372800947516,10.9894987392187,0.000916295898478837,0.17350556599997,"KAZALD1","KAZALD1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"VPS52",566.574588222321,-0.593066867284012,0.180505673877131,10.9507949322642,0.000935634657123432,0.17350556599997,"VPS52","VPS52","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998858",3505.23399777564,-1.13320369265607,0.345611945871253,10.8987535653588,0.000962289906013269,0.173892827162252,"MAOA","LOC113998858 (MAOA)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RUNX1T1",377.198770984956,2.04352479572669,0.632815729840649,10.8561127837825,0.000984701737802602,0.175798919888662,"RUNX1T1","RUNX1T1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ATN1",2530.24787625064,-0.495771093009557,0.149699619708694,10.7830030502579,0.00102436355680194,0.178769215153729,"ATN1","ATN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PRKCD",368.342221035934,2.13286606272234,0.702387126332404,10.7810085911651,0.0010254678963468,0.178769215153729,"PRKCD","PRKCD","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"FGFR1",2062.99101552447,-0.599014107285626,0.186201128580782,10.5119124670044,0.00118607438530927,0.181286598767392,"FGFR1","FGFR1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GPC4",411.990506752702,0.707740598236289,0.222920505672349,10.5471756417524,0.00116365766370017,0.181286598767392,"GPC4","GPC4","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GRINA",322.481119212329,-0.839859185814676,0.256303323010316,10.5022006950018,0.00119232453157681,0.181286598767392,"GRINA","GRINA","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"KLHL12",2108.63926592875,-0.516381731454507,0.160403782481343,10.5487992797193,0.00116263590557147,0.181286598767392,"KLHL12","KLHL12","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113983742",839.374707267583,-0.846706547764629,0.255159891023969,10.5167907272688,0.00118294743142506,0.181286598767392,"LOC113983742","LOC113983742","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990713",1872.07477089111,-0.395853166767215,0.122904066131868,10.5200060161096,0.00118089100051666,0.181286598767392,"ANKHD1","LOC113990713 (ANKHD1)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113992716",8.84094860806333,2.92456630696076,0.927011301353668,10.6881269906612,0.0010782531983127,0.181286598767392,"LOC113992716","LOC113992716","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114000212",268.453632687633,1.4419486739058,0.44386533616006,10.599478701541,0.00113119549336226,0.181286598767392,"CNIH3","LOC114000212 (CNIH3)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114001229",1486.93900171104,-0.431389804220906,0.133631793387764,10.4546340121221,0.0012234215060561,0.181286598767392,"PHTF2","LOC114001229 (PHTF2)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LRRC31",6.35514803178978,3.64135072476049,1.21793484267216,10.4549469216498,0.0012232142809922,0.181286598767392,"LRRC31","LRRC31","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LY96",40.9879576787498,1.67807883611876,0.506583197881895,10.5395277084888,0.00116848275354389,0.181286598767392,"LY96","LY96","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NDST1",1280.40887362073,-0.332921265542104,0.103116599494604,10.4560861077075,0.00122246015237057,0.181286598767392,"NDST1","NDST1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PCNT",1528.54047353434,-0.594841514183545,0.185576804799811,10.4794218560427,0.00120711524927082,0.181286598767392,"PCNT","PCNT","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PIGQ",854.382698181936,-0.518610450515403,0.160066535608184,10.5193313227764,0.00118132222005386,0.181286598767392,"PIGQ","PIGQ","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RNF114",776.034125758092,0.620931114875491,0.187851967994055,10.7302755186012,0.00105396752327376,0.181286598767392,"RNF114","RNF114","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996747",729.764288213892,-0.413349053522366,0.12815400301506,10.4116057215502,0.00125225810773637,0.182809980961109,"TNPO2","LOC113996747 (TNPO2)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RELL1",403.202609191019,0.819591007969519,0.254060742879842,10.4026057213827,0.00125837616804111,0.182809980961109,"RELL1","RELL1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114000333",598.147421869497,1.11899728488394,0.351504370576804,10.3609903002931,0.00128706143127855,0.183381502775823,"NAALAD2","LOC114000333 (NAALAD2)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MBTD1",1866.19690894307,0.527981541138394,0.165765204181513,10.3671477261355,0.00128277579484036,0.183381502775823,"MBTD1","MBTD1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"B3GNT2",694.449699386655,0.875363736536513,0.27420513995921,10.2855753249237,0.00134074208602837,0.189210630769223,"B3GNT2","B3GNT2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DAPK3",819.70985158628,-0.590902049417369,0.184966906932212,10.2281199185354,0.00138315578255077,0.193354739489031,"DAPK3","DAPK3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DOCK7",2541.81382871927,-0.452779904796441,0.142232651214997,10.1944020823166,0.00140867628495401,0.195081917667743,"DOCK7","DOCK7","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SHROOM1",165.147655114548,-1.43837879515,0.446543615166504,10.1611911724543,0.00143427921169496,0.196788419989778,"SHROOM1","SHROOM1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LIMS1",405.813041789944,0.716508680858242,0.224019406616763,10.1021896245117,0.00148093260288281,0.200848494409293,"LIMS1","LIMS1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990467",730.793475985208,-0.64479378237371,0.204022711729385,10.089729995811,0.00149097951039426,0.200848494409293,"POR","LOC113990467 (POR)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CDR2L",544.156790564189,-0.805847501725193,0.255187410347038,10.0680807414785,0.00150860099259566,0.201391437011554,"CDR2L","CDR2L","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113983768",8.1985924520274,5.9863522001709,2.03389924151514,10.0422931525816,0.00152986638115129,0.201443801859411,"SMURF1","LOC113983768 (SMURF1)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MAFF",332.738660116377,-0.552041625374033,0.17447288656894,10.0347039849949,0.00153618231948397,0.201443801859411,"MAFF","MAFF","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
