"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"GAD2",14303.5632551271,0.918644208414131,0.300837061168578,9.54613163455201,0.00200371253577694,0.383893561609722,"GAD2","GAD2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"IDS",467.467527762545,-0.747024652328046,0.241809028598382,9.58235016586046,0.00196456769827203,0.383893561609722,"IDS","IDS",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TRIM35",128.624209212789,1.88631249014228,0.600266819384432,9.52623139283909,0.00202555632032567,0.383893561609722,"TRIM35","TRIM35",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ADAMTS9",411.982401502675,-1.19635804186166,0.402141871340527,9.45247025266272,0.00210864918016085,0.390335981769653,"ADAMTS9","ADAMTS9",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"RFT1",487.351757616199,-0.718258838339336,0.234447998276948,9.45039398769794,0.00211103749539055,0.390335981769653,"RFT1","RFT1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113987004",331.330712732205,1.54465130159345,0.516678613436439,9.4268307128994,0.00213833520046944,0.390619738668887,"GJB6","LOC113987004 (GJB6)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113994022",397.377450940172,0.856187935874373,0.274244760362839,9.37255824891176,0.00220257906037919,0.397565520398443,"EHD2","LOC113994022 (EHD2)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ORAI1",258.416531167872,-0.938528358875181,0.311039223802921,9.20752497741412,0.00241022328337965,0.429927122618851,"ORAI1","ORAI1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ATRIP",1069.55693029487,0.677367396175841,0.221422932583298,9.16126665594786,0.00247191410592257,0.435804205511604,"ATRIP","ATRIP",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CAMK2D",2099.44392448568,0.7722025403016,0.256273436764838,9.06091437446838,0.00261131359191623,0.444862209894762,"CAMK2D","CAMK2D",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DNAH5",1765.28807056809,0.866273408062959,0.287679829216618,9.09669297730491,0.00256072073095693,0.444862209894762,"DNAH5","DNAH5",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"RBM24",301.631999989999,-0.758778022080591,0.252896414231915,9.06469099272825,0.00260592569379387,0.444862209894762,"RBM24","RBM24",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CEBPA",333.902286332173,-1.38683851387126,0.464958472779463,9.03599532490273,0.00264714887630902,0.445956347362194,"CEBPA","CEBPA",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"GABRA6",15.6568164468338,8.33234137453161,2.72197140503315,9.01136864601975,0.00268305428124747,0.447038121014002,"GABRA6","GABRA6",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"AVPR1A",131.758681297536,2.22699542109246,0.739583275335182,8.95125375775254,0.00277279217808301,0.455286216775925,"AVPR1A","AVPR1A",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC114003417",36.8697477314009,-3.62600368291365,1.23928144401865,8.93824156043296,0.00279261430946847,0.455286216775925,"ATP2A3","LOC114003417 (ATP2A3)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"HDHD3",290.062640570361,-1.09013044171138,0.372391431678737,8.84475477662383,0.00293932388101213,0.469116091409535,"HDHD3","HDHD3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"STARD13",341.820651245903,0.922600377411799,0.309467621167008,8.85408100753119,0.00292434316069974,0.469116091409535,"STARD13","STARD13",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CCSAP",829.154365639698,-0.723611709409762,0.242298439155612,8.70891399324378,0.00316657794999413,0.480245663870952,"CCSAP","CCSAP",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113989388",30.5880548639301,-2.74706857430509,0.890333484521514,8.72641771470194,0.00313632100880079,0.480245663870952,"CCDC171","LOC113989388 (CCDC171)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NOCT",974.59101508708,-2.75134299399962,0.89421608920146,8.74275270698411,0.00310834934446182,0.480245663870952,"NOCT","NOCT",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"SHISAL2A",351.499433419681,1.3195051042105,0.448972116983911,8.70842381981262,0.00316742952032022,0.480245663870952,"SHISAL2A","SHISAL2A",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TNFAIP8L3",1807.11767499227,-0.645383417268101,0.217173086552999,8.74076132697465,0.00311174572582389,0.480245663870952,"TNFAIP8","TNFAIP8L3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113991284",129.992400584913,1.59566653685114,0.537563218208296,8.66706894615557,0.00324011921846011,0.486402847428636,"MMP14","LOC113991284 (MMP14)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"GABRR3",23.6630054085649,-2.82319595509451,1.00636680584392,8.61874291690961,0.0033272138813388,0.494580557537832,"GABRR3","GABRR3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"FBXO32",594.406405844923,-1.0994542024877,0.374889760170876,8.59573843330614,0.00336950557363461,0.496004305897552,"FBXO32","FBXO32",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"EIF2B1",443.104247933256,-0.85899383295504,0.302938871279819,8.52049369947194,0.0035116921005714,0.505259591167984,"EIF2B1","EIF2B1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"KCNS2",1231.79797455476,-0.659700837754155,0.225855590425752,8.50981912747957,0.00353235171242622,0.505259591167984,"KCNS2","KCNS2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NDUFAF5",497.02729195499,-0.714453200725715,0.243776817275049,8.53024921456746,0.00349291868581058,0.505259591167984,"NDUFAF5","NDUFAF5",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"FAM181A",114.142689476659,-1.98980178356685,0.676342850272166,8.45263291772997,0.00364515353827313,0.516521663058853,"FAM181A","FAM181A",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LFNG",406.155280275309,1.19834852427831,0.406209602037912,8.42109150719577,0.00370893068770381,0.52069265821264,"LFNG","LFNG",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DSCAML1",462.31368830668,0.758366993842105,0.260163618688199,8.39034222815195,0.00377219879980936,0.524716313786325,"DSCAML1","DSCAML1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"HIPK2",2728.00429737151,0.674690131237038,0.230215919642581,8.32736407920248,0.00390522822548595,0.53385458905662,"HIPK2","HIPK2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
