,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
SNAP91,8849.89121586073,9476.62426167215,9481.59738417789,9958.5376496754,9588.74765807758,8757.67759129673,9848.22300139244,9710.15500721784,8307.97717304739,10370.1481255737,10309.41669374
PRSS35,160.296013842643,303.805111196653,222.680184395749,251.633077887541,179.434269713883,257.604349301782,283.312179416049,303.755623290007,335.186796178086,254.332006363481,296.979081712674
LOC113982168,157.710594264535,235.710862135334,189.38221289732,183.967040136269,195.912927136586,192.332977012479,145.822445287672,154.384046160597,126.62612300061,189.41881645481,143.329672641252
TDRD15,19.8215500988214,15.714057475689,20.8112321865186,41.233991754681,11.9012525830636,16.5354143132901,22.9149556880628,15.0374070935647,10.2418187721082,30.8603689729747,8.02646166791011
LDAH,1197.91107118964,1104.17443862508,1142.53664703987,949.439092197527,1026.25416504726,943.388900821391,1209.28470699277,1087.70577976785,989.732123159182,1151.41100788823,760.220583689201
GDF7,52.5701980881785,24.0948881293897,45.784710810341,35.9475825553629,32.957314845407,41.7736782651538,39.5803780066539,23.0573575434658,27.9322330148405,29.7962183187341,27.5192971471204
HS1BP3,155.125174686428,122.569648310374,117.58346185383,90.926238228271,185.842636489378,141.856449108752,111.450011755578,126.314219585943,125.695048566782,160.686748790316,81.4112540602311
DHX16,61.1882633485356,40.8565494367913,56.1903269036003,32.7757370357721,60.4217438832462,37.422253445867,53.1210336405092,46.1147150869317,77.2791780077254,62.7848886001898,44.7188578640706
CUNH6orf136,273.192668753321,283.900638394114,294.478935439239,251.633077887541,321.333819742718,300.248312530793,274.979468256753,192.478810797628,355.670433722302,237.305595895633,325.645016240925
ATAT1,411.943519445071,408.565494367913,503.631818913751,499.037028415627,580.414933666334,510.857273784277,469.756591605287,494.229446475159,550.264990392358,436.301768238607,596.251438187608
