,PFT1_GCT_run2,PFT10_GCT_run1,PFT11_GCT_run1,PFT12_GCT_run1,PFT2_GCT_run1,PFT3_GCT_run2,PFT4_GCT_run1,PFT5_GCT_run1,PFT6_GCT_run1,PFT7_GCT_run2,PFT8_GCT_run1,PFT9_GCT_run2
LOC113991289,43.8640145365013,119.138576493483,9.67366099005762,14.5108283811423,12.624129486303,15.7202933577818,3.545393968081,17.4055836372785,30.7178494515908,23.7638560346549,3.05769410286867,5.45564909800898
QDPR,2787.91515647112,3206.9761082344,3300.65312980766,3107.25205068193,3024.93564229491,3490.88764376242,3167.80951048038,2732.67663105273,2450.01330281137,4589.6647405113,3250.32883134939,3844.414064397
LAP3,200.958392178855,290.034075562003,247.645721345475,298.92306465153,311.718889623328,252.50721205937,267.677244590116,287.772316136338,247.861267988698,224.676457054919,277.230931993426,276.419554299122
MED28,153.014004197098,220.699330225632,215.722640078285,206.05376301222,146.634119417827,207.311368655747,220.700774513042,211.187748132313,229.854252792938,302.449076804699,205.884736259824,215.498139371355
FAM184B,67.3261618467229,114.255847948668,133.496521662795,111.249684255424,84.4845588698739,66.8112467705726,131.179576818997,118.357968733494,100.62743785866,139.342610385022,121.288532747124,90.9274849668164
LOC113991296,3.06028008394195,8.78891138066675,1.93473219801152,21.282548292342,12.624129486303,8.84266501375225,12.4088788882835,10.4433501823671,24.3624323236755,30.2449076804699,7.13461957336022,19.0947718430314
NCAPG,156.07428428104,141.599127799631,148.974379246887,212.82548292342,137.894337465771,160.150488582402,147.133849675362,113.716479763553,138.759940626152,243.039436718061,121.288532747124,192.766268129651
LCORL,442.720518810269,463.859211757412,451.759968235691,506.911604781236,548.6640892124,494.206722435265,466.219306802652,461.828152509124,474.537812217679,667.548319518942,450.500264489317,640.129494166387
ZBTB20,106.089709576654,98.6311166052602,133.496521662795,118.988792725366,151.489553835636,69.7588017751566,98.3846826142478,100.952385096215,123.930633994349,159.865940596769,54.0192624840131,59.1028652284307
DRD3,58.1453215948971,84.9594766797786,59.9766981383572,51.2715936133693,39.8145622260325,44.2133250687613,46.090121585053,45.2545174569242,41.3102113314497,39.9664851491923,26.5000155581951,43.6451927840719
QTRT2,429.459305113187,448.234480414004,445.955771641656,405.33580611324,438.93127136992,368.44437557301,397.970472917093,391.045445717524,358.021831539231,348.896613599706,452.538727224563,430.087003893042
CCDC191,237.681753186158,282.221709890299,199.277416395187,264.097076536789,154.402814486321,189.626038628243,219.814426021022,223.95184279965,333.659399215556,201.992776294567,215.05781856843,141.846876548234
ZDHHC23,482.504159901514,650.37944216934,639.428991442809,598.813517861804,476.803659828829,518.769680806799,571.694777353062,635.883988881909,551.862053940649,524.965183311013,613.577283308979,476.460021226118
GRAMD1C,351.932209653324,178.707864740224,278.601436513659,321.173001502615,234.031938938386,216.154033669499,235.768698877387,295.894921833735,278.579117440289,357.538015794126,253.788610538099,479.187845775122
CLDND1,3834.53094517927,3382.75433584774,2883.71834113618,3609.32671266945,3740.62667547993,4567.72773877047,3043.72072159754,3702.74782577039,3724.27443695839,3255.64827674772,3402.1943051252,3837.13986559965
ILDR1,12.2411203357678,24.4136427240743,32.8904473661959,21.282548292342,37.872388458909,13.7552566880591,40.7720306329315,18.5659558797638,11.6515980678448,27.0043818575624,21.4038587200807,12.7298478953543
CFAP44,118.330829912422,28.3198255599262,120.92076237572,112.217072814167,100.021949006862,43.2308067338999,71.7942278536403,83.5468014589369,88.9758397908148,223.596281780617,65.2308075278649,298.242150691158
BOC,272.364927470834,166.989316232668,215.722640078285,341.488161236214,258.309111027431,147.377750229204,252.609320225771,226.272587284621,199.136403341347,303.529252079001,261.942461479082,218.225963920359
LOC113991334,9.18084025182585,19.5309141792594,25.1515185741498,14.5108283811423,3.88434753424708,10.807701683475,15.9542728563645,6.96223345491141,31.7770856395767,14.0422785659324,13.2500077790976,18.1854969933633
NEPRO,162.194844448923,150.388039180298,148.007013147882,142.206118135194,141.778685000018,129.6924202017,179.042395388091,162.452113947933,163.122372949827,141.502960933627,149.827011040565,193.675542979319
TAF13,721.206006448986,558.58414552682,567.843900116382,590.107020833118,598.18952027405,611.126404283767,643.489005206702,638.204733366879,615.416225219803,503.361677824963,728.750427850366,634.673845068378
GTPBP8,150.97381747447,188.473321829854,124.790226771743,157.684335075079,197.130637363039,122.81479185767,173.724304435969,228.593331769591,201.254875717319,111.258053253157,146.769316937696,110.022256809848
SLC35A5,1396.50781163884,1479.4667490789,1400.74611136034,1277.92028609926,1813.01921160982,1340.1550087509,1505.01973945039,1395.92780770974,1385.48093388555,1884.90585365785,1628.73172546138,1553.04144323322
CCDC80,249.922873521926,186.520230411928,203.14688079121,209.923317247191,194.217376712354,160.150488582402,159.542728563645,251.800776619296,253.157448928628,206.313477391777,207.923198995069,369.165588965275
ATG3,957.867666273831,720.690733214674,658.776313422924,743.921801673226,860.382978835727,826.297919618405,818.986006626712,715.94967361339,748.879984906025,731.278660702789,901.000528978634,821.98446410002
F5,106.089709576654,145.505310635483,132.529155563789,151.880003722622,115.559339143851,98.2518334861361,117.884349438693,133.442807885802,140.878413002123,140.422785659324,51.9807997487673,127.298478953543
SLC19A2,100.989242770084,109.373119403853,97.703975999582,121.890958401595,133.038903047962,135.587530210868,87.7485007100048,138.084296855743,103.805146422617,108.01752743025,130.46161505573,122.752104705202
CCDC181,378.454637047488,402.336832092745,381.14224300827,314.401281591416,422.42279434937,337.003788857447,387.33429101285,351.592789473026,361.199540103189,420.188181703671,375.077143285223,382.804711710297
BLZF1,530.448547883272,582.997788250894,591.060686492521,598.813517861804,651.599298869947,656.322247687389,596.512535129629,583.667237970073,616.475461407788,637.303411838472,600.327275529882,609.21414927767
NME7,381.51491713143,411.125743473411,313.426616077867,431.455297199296,327.256279760316,342.898898866615,422.78823069366,370.15874535279,293.408424072092,380.221696554478,416.865629357762,440.089027239391
ATP1B1,34402.6486103141,39436.8219107607,36963.0586430102,37971.9357077731,40034.0278617175,47173.6528116985,36358.0151426707,38614.8674854237,37973.6173392942,41841.6694253815,46516.700386941,35300.7774886671
LOC113991354,27.5425207554776,10.7420027985927,11.6083931880691,24.1847139685704,15.5373901369883,18.6678483623659,11.5225303962633,16.2452113947933,13.7700704438166,15.1224538402349,11.2115450438518,7.27419879734531
TBX19,5.10046680656992,1.95309141792594,8.70629489105186,5.8043313524569,2.91326065068531,0,9.74983341222276,10.4433501823671,8.47388950388713,6.48105164581497,6.11538820573733,7.27419879734531
SFT2D2,63.245788401467,57.6161968288154,59.9766981383572,79.325861816911,94.1954277054916,91.3742051421066,72.6805763456606,61.4997288517175,93.2127845427584,79.9329702983847,56.0577252192589,103.657332862171
TIPRL,537.589201412469,549.795234146153,539.790283245215,603.650460655518,653.541472637071,596.388629260846,551.308762036596,659.091433731614,587.876084332169,643.784463484287,554.461863986852,745.605376727894
GPR161,240.7420332701,318.353901121929,246.678355246469,293.118733299074,301.036933904148,265.279950412568,303.131184270926,324.904227895866,319.889328771739,292.727499335976,281.307857463917,360.982115318261
TTF2,248.902780160612,199.215324628446,189.603755405129,137.36917534148,134.981076815086,245.62958371534,210.95094110082,244.838543164385,190.66251383746,156.625414773862,168.173175657777,250.959858508413
CPOX,332.550435788359,386.712100749337,373.403314216224,454.672622609124,530.213438424726,414.622737311494,448.492336962247,488.516714086284,443.819962766088,403.985552589133,422.981017563499,342.796618324898
ST3GAL6,429.459305113187,416.985017727189,511.736666374048,484.661667930151,411.74083863019,502.066869114156,427.219973153761,421.21512402214,460.767741773862,595.176576140675,321.05788080121,556.476207996916
COL8A1,111.190176383224,44.9211026122967,110.279735286657,126.727901195309,77.6869506849415,74.6713934494635,109.020864518491,143.886158068169,86.857367414843,143.663311482232,83.5769721450769,330.976045279212
LOC113991361,56.1051348722691,28.3198255599262,49.3356710492939,29.0216567622845,14.5663032534265,34.3881417201476,31.0221972207088,26.6885615771604,14.8293066318025,22.6836807603524,47.9038742782758,24.5504209410404
DCBLD2,548.810228386923,785.14275000623,753.578191125489,747.791355908198,635.090821849397,689.727871072675,755.168915201254,674.176272883922,684.266577438885,685.911299182085,568.731103133572,563.750406794262
LOC113991312,49.9845747043852,35.155645522667,44.4988405542651,66.7498105532544,29.1326065068531,46.178361738484,46.9764700770733,58.0186121242618,72.0280607830406,55.0889389894273,43.8269488077842,40.0080933853992
CMSS1,201.978485540169,127.927487874149,139.30071825683,147.043060928908,193.246289828792,210.258923660331,171.951607451929,157.810624977992,121.812161618377,151.224538402349,191.615497113103,153.66744959392
FILIP1L,394.776130828512,287.104438435114,399.52219888938,183.803826161135,309.776715856204,345.846453871199,257.927411177893,344.630556018115,278.579117440289,178.228920259912,371.000217814732,191.856993279983
TBC1D23,760.989647540232,707.019093289192,718.753011561281,724.57403049837,846.787762465863,1124.98349341626,740.98733932893,735.676001735639,770.064708665743,979.718973792363,706.327337762662,1015.66000707934
NIT2,212.179419153309,159.176950560964,162.517504632968,164.456054986279,155.373901369883,177.835818609906,243.745835305569,172.8954641303,230.913488980924,173.908219162702,300.673253448752,225.500162717705
TOMM70,2175.85913968273,2400.34935263099,2459.04462367265,2296.58043845545,2619.02132496609,2748.10378260723,2402.8907618669,2432.14022024905,2332.43808594493,2153.86949695918,2270.8474870638,2174.07616555658
