,PFT1_ICO_run2,PFT10_ICO_run1,PFT11_ICO_run2,PFT12_ICO_run1,PFT2_ICO_run1,PFT3_ICO_run2,PFT4_ICO_run1,PFT5_ICO_run2,PFT6_ICO_run1,PFT7_ICO_run1,PFT8_ICO_run2
LOC113994599,88.5197014987291,77.4112355359868,122.573301172876,101.541059335952,129.074318002164,77.2584659905564,78.473110546385,129.317927925445,90.0997516210525,82.694659354282,99.7388809204061
LATS1,396.738903102738,412.545243039344,503.195657446544,445.652427085567,352.737449196754,430.270225978176,441.77454826113,501.848472591406,447.130543091391,557.684714913634,464.131426065256
KATNA1,66.1231505171229,112.340695472956,86.6307542124087,104.361644317506,114.294815940848,82.0128331284368,58.1282300343593,88.9802256367742,62.3119777566157,83.7031308098221,51.350710968922
GINM1,194.103441840587,210.520799079574,179.712734802337,243.510503407515,225.633731469432,236.52976510955,189.885551445574,261.008661867871,234.932997217511,303.549908117547,204.415330203209
PPIL4,330.615752585615,320.029376179262,373.249526127931,347.872147725021,419.737858541389,358.95471890997,307.110815348198,336.938454411251,361.241060237678,329.770165961588,361.430004127412
TAB2,751.88421152535,936.487142093889,857.091504441916,1016.35078835337,649.312790560506,778.527618827914,747.916559775423,942.003988741316,756.164270614067,887.454880875222,829.511484882585
LOC113994659,372.20934726574,378.55982256013,431.310563525609,362.915267626643,496.591269260235,374.406412108081,393.334356565831,351.175290513135,425.237145501229,384.227624560749,456.231316685422
NOX5,4.26600971078213,7.55231566204749,10.1376414503883,5.64116996310845,5.91180082452661,4.75436713788039,2.90641150171796,3.55920902547097,2.52616126040334,5.04235727770012,3.95005468991707
GLCE,755.083718808436,677.820330668762,804.560089653541,768.1393099766,630.592087949505,774.961843474504,922.3012498785,685.740938907406,765.426861902212,750.302762921778,826.548943865148
PAQR5,75.7216723663827,43.4258150567731,59.9042449341124,68.6342345511528,37.4414052220018,70.1269152837358,99.7867948923167,45.0833143226322,49.681171454599,69.5845304322617,63.2008750386732
KIF23,8.53201942156425,12.2725129508272,8.29443391395403,22.5646798524338,3.9412005496844,19.0174685515216,4.84401916952994,15.4232391103742,5.89437627427446,28.2372007551207,6.91259570735488
TLE3,268.758611779274,302.0926264819,278.324338001568,296.161423063194,363.575750708386,395.801064228543,344.894164870532,300.159961148051,348.610253935661,318.676979950648,384.142818594435
UACA,507.655155583073,621.177963203406,345.601413081418,563.176801316993,346.825648372228,667.988582872195,373.958279887711,518.458114710271,388.186780348647,706.938490333557,523.382246414012
MORF4L1,2964.87674899358,2927.46635850116,2548.23441912032,2510.32063358326,2857.37039852119,2655.3140465062,2712.65073493677,2476.0230787193,2675.20477476714,2407.22136437404,2651.47421060684
ADAMTS7,271.95811906236,334.189968045601,187.085564948074,274.536938204611,402.98775620523,355.388943556559,330.362107361942,291.855140088619,218.091922148155,206.736648385705,167.877324321476
CIAO2A,150.37684230507,159.542668360753,168.653489583732,129.746909151494,213.810129820379,160.459890903463,113.350048567001,130.504330933935,122.939848006296,154.296132697624,158.002187596683
SPG11,2326.04179480395,1838.98886370856,2119.68866689936,1872.868427752,2298.70522060343,2153.72831345982,2448.16728828043,1889.93999252508,2389.74855234156,2043.16316892409,2028.35308327242
EIF3J,1729.86693772215,1714.37565528478,1553.82395321405,1713.97547379112,1906.55576590983,1599.84454189675,1676.99943649126,1652.65939082702,1720.31581833468,1839.45193490501,1785.42471984252
CTDSPL2,658.031997888143,681.596488499786,790.736033130284,604.545381046455,601.033083826872,665.611399303255,617.128042198114,648.962445644206,627.330046333496,706.938490333557,728.7850902897
LOC113994634,24.5295558369972,15.104631324095,20.2752829007765,16.9235098893253,25.6178035729486,19.0174685515216,16.4696651764018,33.219284237729,14.3149138089523,22.1863720218805,22.7128144670232
CASC4,1806.65511251623,1930.56069111089,1691.1429146784,1650.04221420922,1796.20215051867,1702.06343536118,1792.28709272608,1560.11995616477,2017.5607933088,1801.13001959448,1664.94805180005
FRMD5,704.958104706746,612.681608083603,669.084335725625,567.87777628625,566.547579017133,654.914073243024,913.582015373347,552.86380195649,674.485056527692,570.794843835654,623.121127334418
WDR76,49.0591116739944,67.0268015006715,28.5697168147305,47.0097496925704,39.412005496844,42.7893042409235,48.4401916952994,35.5920902547097,26.945720110969,67.5675875211817,37.5255195542122
BLM,412.736439518171,401.216769546273,336.385375399247,298.041813050896,454.223363351128,367.27486140126,479.557897783464,384.394574750864,372.187759032759,368.092081272109,342.667244350306
CTSH,1143.29060248961,1265.95691285071,1182.41763462256,1113.19087272007,1218.8162699899,1187.40319268563,1045.33933678456,1025.05219933564,1074.46058942489,1011.49686990664,1266.9800417909
RASGRF1,4370.52694869629,4885.40419388697,4086.39110827468,4519.51733544372,3604.22790268639,4696.12614044136,5090.09534334206,3719.37343161716,4622.87510653811,4116.58048151438,4352.96026828862
RND3,553.514759973981,498.452833695134,438.683393671346,614.887525978821,523.194372970605,595.484484019519,726.602875429491,480.49321843858,556.597531042203,583.904972757674,446.356179960629
RBM43,95.9852184925978,97.2360641488614,94.9251881263628,122.225349200683,85.7211119556358,112.916219524659,133.694929079026,99.657852713187,117.887525485489,84.7116022653621,84.9261758332171
NMI,79.9876820771648,94.4039457755936,66.3554713116322,85.5577444404781,87.691712230478,65.3725481458554,47.4713878613934,88.9802256367742,52.2073327150024,96.8132597318424,75.0510391084244
TNFAIP6,217.566495249888,166.150944565045,183.399149875206,107.182229299061,195.089427209378,184.231726592865,140.476555916368,134.063539959406,178.515395735169,180.516390541664,209.352898565605
RIF1,1542.16251044774,1383.9618450702,1363.97357696133,1433.7973656234,1240.49287301317,1431.064508502,1251.69455340654,1332.33057853463,1513.1705949816,1412.86850921157,1534.59624703278
NEB,53.3251213847766,30.20926264819,52.5314147883755,85.5577444404781,37.4414052220018,79.6356495594966,44.5649763596754,123.385912882993,22.7354513436301,69.5845304322617,94.8013125580098
ARL5A,1309.66498121011,1508.57505349399,1494.84131204816,1507.13257514381,1491.74440805555,1431.064508502,1358.2629751362,1454.53008840913,1400.33539201692,1526.8257836876,1452.632612217
CACNB4,3147.24866412951,3206.90203799692,3485.50545139713,3269.9981886152,2961.81221308783,3399.37250358448,3165.08212537086,3370.570947121,3441.47369042282,3057.68545319736,3321.99599422026
STAM2,1396.05167785345,1418.89130500717,1278.26442651714,1378.32586098616,1379.42019238954,1451.27056883799,1447.39292785555,1321.65295145822,1411.282090812,1408.83462338941,1316.35572541486
LOC113994672,7.46551699386872,17.9367496973628,9.21603768217114,10.3421449323655,13.7942019238954,14.2631014136412,16.4696651764018,15.4232391103742,19.3672363297589,12.1016574664803,10.862650397272
FMNL2,1129.42607092957,1261.23671556193,1049.70669199929,1105.66931276926,849.328718456989,1150.55684736706,1187.75350036874,995.39212412338,932.995558842301,1278.74180562475,1148.47840109339
SEMA3D,512.987667721551,478.62800508226,537.294996870578,361.034877638941,427.620259640758,552.695179778596,457.275409603626,332.19284237729,451.34081185873,452.803683537471,459.19385770286
