"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"DHCR7",388.589870550538,-0.428942518916958,0.208545739301691,4.26660757765414,0.0388684555284502,1.1523109218653e-14,"DHCR7","DHCR7",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DKC1",512.850033704801,-0.538918019049627,0.249649747443369,4.66752020097496,0.0307382799226255,1.1523109218653e-14,"DKC1","DKC1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DNAH17",18.7947381781901,1.43675449564856,0.715030428965463,3.88283934955433,0.0487819927214945,1.1523109218653e-14,"DNAH17","DNAH17",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DNM3",5030.24632416195,0.264462545964883,0.139854423641178,3.54762292202173,0.0596308186283765,1.1523109218653e-14,"DNM3","DNM3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DTD2",417.133550895624,-1.01429850642412,0.425640281641683,5.89586320185532,0.0151764892976147,1.1523109218653e-14,"DTD2","DTD2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ECM2",19.308242000442,2.49689572163511,0.696700460794588,12.4862303587949,0.000409962615919998,1.1523109218653e-14,"ECM2","ECM2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"EMP2",104.734748229411,-0.675245989332752,0.346664213335883,3.75036113752448,0.0527961032659161,1.1523109218653e-14,"EMP2","EMP2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ENTPD8",5.4571088508634,-2.76968435980052,1.34070193960179,4.24802421621696,0.0392960228993394,1.1523109218653e-14,"ENTPD8","ENTPD8",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ERMARD",114.20211040783,-0.933869686560266,0.429836846595442,4.57587884288779,0.0324251094635475,1.1523109218653e-14,"ERMARD","ERMARD",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ESPL1",152.352159429141,1.21544057087175,0.581854791713852,4.09724335818187,0.0429531924348023,1.1523109218653e-14,"ESPL1","ESPL1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
