"","ID","logT","studyyear","T.doy.adj","time.of.day","T.tElap","Tresid","Status","ID_year","ID_year_Tday","meanT","correctedT","relativeT"
"337","RBOX",1.1999647829284,"15-16",17,508,8,0.831951991897025,"terr","RBOX_15-16","RBOX_15-16_17",-0.486881273273496,0.831951991897025,1.31883326517052
"338","RBOX",-1.83258146374831,"16-17",18,477,22,-1.13461258136013,"terr","RBOX_16-17","RBOX_16-17_18",-0.486881273273496,-1.13461258136013,-0.647731308086634
"339","RBOX",-1.56064774826467,"17-18",-3,622,21,-1.15798323035738,"terr","RBOX_17-18","RBOX_17-18_-3",-0.486881273273496,-1.15798323035738,-0.671101957083887
"340","RBPX",-0.798507696217772,"16-17",-8,466,8,-0.335319294174213,"floa","RBPX_16-17","RBPX_16-17_-8",-0.335319294174213,-0.335319294174213,0
"341","RGWX",-0.673344553263766,"15-16",67,444,23,-0.846895376948567,"floa","RGWX_15-16","RGWX_15-16_67",-0.83499769003647,-0.846895376948567,-0.0118976869120967
"342","RGWX",-1.51412773262978,"16-17",-29,477,18,-0.823100003124374,"floa","RGWX_16-17","RGWX_16-17_-29",-0.83499769003647,-0.823100003124374,0.0118976869120966
"343","RPOX",1.30019166206648,"15-16",-3,571,16,1.13639266529007,"floa","RPOX_15-16","RPOX_15-16_-3",1.13639266529007,1.13639266529007,0
"344","RPYX",0.0769610411361284,"16-17",12,482,7,0.496025754046379,"floa","RPYX_16-17","RPYX_16-17_12",0.496025754046379,0.496025754046379,0
"345","RRRX",-1.83258146374831,"16-17",12,515,16.0261780104712,-1.22889098501774,"terr","RRRX_16-17","RRRX_16-17_12",0.00205671633917431,-1.22889098501774,-1.23094770135691
"346","RRRX",0.553885113226438,"16-17",-5,499,34,1.52475909621794,"terr","RRRX_16-17","RRRX_16-17_-5",0.00205671633917431,1.52475909621794,1.52270237987876
"347","RRRX",0.783901543828409,"17-18",-10,397,17,1.0486060135347,"terr","RRRX_17-18","RRRX_17-18_-10",0.00205671633917431,1.0486060135347,1.04654929719552
"348","RRRX",-1.51412773262978,"17-18",6,564,11,-1.3362472593782,"terr","RRRX_17-18","RRRX_17-18_6",0.00205671633917431,-1.3362472593782,-1.33830397571737
"349","RRYX",0.832909122935104,"16-17",-26,447,13,1.41347015208545,"terr","RRYX_16-17","RRYX_16-17_-26",1.17993479569995,1.41347015208545,0.233535356385508
"350","RRYX",0.641853886172395,"16-17",8,422,20,1.29876206999264,"terr","RRYX_16-17","RRYX_16-17_8",1.17993479569995,1.29876206999264,0.118827274292697
"351","RRYX",0.693147180559945,"17-18",-15,427,27,1.16779252048321,"terr","RRYX_17-18","RRYX_17-18_-15",1.17993479569995,1.16779252048321,-0.0121422752167346
"352","RRYX",0.657520002916794,"17-18",12,545,12,0.839714440238476,"terr","RRYX_17-18","RRYX_17-18_12",1.17993479569995,0.839714440238476,-0.340220355461469
"353","RWGX",-1.66073120682165,"15-16",-19,904,8,-1.84956542306894,"floa","RWGX_15-16","RWGX_15-16_-19",-0.0384649340621616,-1.84956542306894,-1.81110048900678
"354","RWGX",1.42791603581071,"17-18",-31,430,18.9785714285714,1.77263555494462,"terr","RWGX_17-18","RWGX_17-18_-31",-0.0384649340621616,1.77263555494462,1.81110048900678
"355","RWPX",-1.02165124753198,"15-16",-17,457,35,-0.833974963952466,"floa","RWPX_15-16","RWPX_15-16_-17",-0.440559761685036,-0.833974963952466,-0.39341520226743
"356","RWPX",-1.89711998488588,"16-17",9,458,14,-1.34609084574437,"floa","RWPX_16-17","RWPX_16-17_9",-0.440559761685036,-1.34609084574437,-0.905531084059336
"357","RWPX",-1.38629436111989,"16-17",-23,572,17,-0.69345455807247,"floa","RWPX_16-17","RWPX_16-17_-23",-0.440559761685036,-0.69345455807247,-0.252894796387434
"358","RWPX",0.598836501088704,"17-18",-17,476,28,1.11128132102916,"floa","RWPX_17-18","RWPX_17-18_-17",-0.440559761685036,1.11128132102916,1.5518410827142
"359","RXBY",1.55814461804655,"15-16",-2,941,17.398773006135,1.53698410019355,"terr","RXBY_15-16","RXBY_15-16_-2",1.33855332196239,1.53698410019355,0.198430778231163
"360","RXBY",1.62727783056243,"15-16",40,557,19,1.4526690875191,"terr","RXBY_15-16","RXBY_15-16_40",1.33855332196239,1.4526690875191,0.114115765556708
"361","RXBY",0.732367893713227,"16-17",-12,446,2,1.07942086884848,"terr","RXBY_16-17","RXBY_16-17_-12",1.33855332196239,1.07942086884848,-0.259132453113908
"362","RXBY",1.36609165380237,"17-18",24,538,16,1.60532251188364,"terr","RXBY_17-18","RXBY_17-18_24",1.33855332196239,1.60532251188364,0.26676918992125
"363","RXBY",0.810930216216329,"17-18",-21,408,13,1.01837004136717,"terr","RXBY_17-18","RXBY_17-18_-21",1.33855332196239,1.01837004136717,-0.320183280595214
"364","RXGY",0.978326122793608,"16-17",-21,444,16,1.60835526261548,"terr","RXGY_16-17","RXGY_16-17_-21",1.57778252306547,1.60835526261548,0.0305727395500102
"365","RXGY",0.832909122935104,"16-17",9,608,20,1.54720978351546,"terr","RXGY_16-17","RXGY_16-17_9",1.57778252306547,1.54720978351546,-0.0305727395500102
"366","RXMG",-1.04982212449868,"15-16",-2,582,17.398773006135,-1.1846410571846,"floa","RXMG_15-16","RXMG_15-16_-2",-0.0373249491733091,-1.1846410571846,-1.14731610801129
"367","RXMG",-2.52572864430826,"16-17",47,463,24,-1.83694191756479,"floa","RXMG_16-17","RXMG_16-17_47",-0.0373249491733091,-1.83694191756479,-1.79961696839148
"368","RXMG",0.797507195884188,"17-18",-27,471,30,1.36190913542584,"floa","RXMG_17-18","RXMG_17-18_-27",-0.0373249491733091,1.36190913542584,1.39923408459915
"369","RXMG",1.31103187661934,"17-18",9,585,12,1.51037404263031,"floa","RXMG_17-18","RXMG_17-18_9",-0.0373249491733091,1.51037404263031,1.54769899180362
"370","RXMM",1.14103300455206,"15-16",-7,498,2,0.689943015551787,"floa","RXMM_15-16","RXMM_15-16_-7",0.370302519841837,0.689943015551787,0.31964049570995
"371","RXMM",0.871293365943419,"16-17",-17,467,25,1.67629869097527,"floa","RXMM_16-17","RXMM_16-17_-17",0.370302519841837,1.67629869097527,1.30599617113343
"372","RXMM",0.576613364303994,"16-17",6,878,13,1.2458002004948,"floa","RXMM_16-17","RXMM_16-17_6",0.370302519841837,1.2458002004948,0.87549768065296
"373","RXMM",-2.40794560865187,"16-17",44,417,3,-2.13447528295799,"floa","RXMM_16-17","RXMM_16-17_44",0.370302519841837,-2.13447528295799,-2.50477780279983
"374","RXMM",0.246860077931526,"17-18",-21,398,9,0.373945975145322,"floa","RXMM_17-18","RXMM_17-18_-21",0.370302519841837,0.373945975145322,0.00364345530348553
"375","RXO",0.797507195884188,"15-16",44,532,32,0.859865925151366,"terr","RXO_15-16","RXO_15-16_44",-0.310168120371438,0.859865925151366,1.1700340455228
"376","RXO",-1.13943428318836,"15-16",-2,441,17.398773006135,-1.31889342894237,"terr","RXO_15-16","RXO_15-16_-2",-0.310168120371438,-1.31889342894237,-1.00872530857093
"377","RXO",0.625938430866495,"16-17",0,450,10,1.11069835195418,"terr","RXO_16-17","RXO_16-17_0",-0.310168120371438,1.11069835195418,1.42086647232562
"378","RXO",-2.04022082852655,"17-18",-22,398,10,-1.89234332964893,"terr","RXO_17-18","RXO_17-18_-22",-0.310168120371438,-1.89234332964893,-1.58217520927749
"379","RXRO",-1.13943428318836,"15-16",29,498,12,-1.45136044522756,"floa","RXRO_15-16","RXRO_15-16_29",0.00844761039074523,-1.45136044522756,-1.4598080556183
"380","RXRO",0.936093359170335,"15-16",-15,452,9,0.617475720869019,"floa","RXRO_15-16","RXRO_15-16_-15",0.00844761039074523,0.617475720869019,0.609028110478274
"381","RXRO",0.246860077931526,"16-17",-17,529,14,0.859227555530775,"floa","RXRO_16-17","RXRO_16-17_-17",0.00844761039074523,0.859227555530775,0.850779945140029
"382","RXRW",1.96850998097255,"15-16",22,529,17.398773006135,1.78104068607147,"terr","RXRW_15-16","RXRW_15-16_22",0.238490212623431,1.78104068607147,1.54255047344804
"383","RXRW",-1.20397280432594,"15-16",-17,889,13,-1.30406026082461,"terr","RXRW_15-16","RXRW_15-16_-17",0.238490212623431,-1.30406026082461,-1.54255047344804
"384","RXWY",1.43270073393405,"15-16",-24,395,3,0.993706634355097,"terr","RXWY_15-16","RXWY_15-16_-24",0.982028492000574,0.993706634355097,0.0116781423545225
"385","RXWY",0.350656871613169,"15-16",64,465,26,0.246129395291688,"terr","RXWY_15-16","RXWY_15-16_64",0.982028492000574,0.246129395291688,-0.735899096708886
"386","RXWY",0.819779831493311,"17-18",31,411,13,0.950449581819967,"terr","RXWY_17-18","RXWY_17-18_31",0.982028492000574,0.950449581819967,-0.031578910180607
"387","RXWY",1.58514521986506,"17-18",44,420,15,1.73782835653555,"terr","RXWY_17-18","RXWY_17-18_44",0.982028492000574,1.73782835653555,0.755799864534971
