"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"MMP16","pink","MMP16","MMP16",3,"N","MMP16",0.815481077739528,0.763710038622832,0.524912532585259,0.634896498411173,0.5937019660026,0.878294902226019,0.330712050314067,0.178694416074605,0.173777200297136,0.650117841487863
"MMP17","midnightblue","MMP17","MMP17",3,"N","MMP17",0.402684420188589,0.884532536486224,0.710648286998229,0.517138686031944,0.473369790832301,0.582052949333279,0.429776220209691,0.195397321292206,0.10325733148091,0.860348353864486
"MMP2","pink","MMP2","MMP2",3,"N","MMP2",0.233194043497614,0.508037394675791,0.958347797251955,0.0698162103081598,0.690628851368755,0.336282742619602,0.737222796331462,0.000168124226367504,0.00683283232348194,0.180968997014669
"MMP23B","turquoise","MMP23B","MMP23B",2,"N","MMP23B",0.938515455812276,0.745683330724943,0.32761261024034,0.711647221970737,0.920911272740524,0.539167831579761,0.611474779925723,0.63002544324387,0.14628581282744,0.883651618485459
"MMP24","blue","MMP24","MMP24",3,"N","MMP24",0.920891862469914,0.0225340725730144,0.30924274274796,0.79799212482859,0.959088160964107,0.431599938526884,0.50942400692284,0.38181423460947,0.247238421181836,0.0639811750741105
"MMP28","blue","MMP28","MMP28",2,"N","MMP28",0.44168554762053,0.0821764184181759,0.430238525016287,0.409705538716906,0.782423622369501,0.591076672136155,0.271266267398933,0.0656316701168205,0.0512217136358746,0.0207545454641824
"MMP9","midnightblue","MMP9","MMP9",2,"N","MMP9",0.566480626349302,0.148113915805445,0.521813247792562,0.0395605179592004,0.156601558276586,0.135263590767361,0.00806495817317331,0.461513526303105,0.214559326902123,0.235842004424807
"MMRN1","black","MMRN1","MMRN1",2,"N","MMRN1",0.308377905177998,0.608262832711772,0.238752284278257,0.680008929921831,0.875967840350979,0.438716248752929,0.949311439308512,0.553639121969436,0.294633476379636,0.707315871375511
"MMRN2","brown","MMRN2","MMRN2",2,"N","MMRN2",0.369571040878787,0.288969451120047,0.0113771687763376,0.951610797866059,0.0182029155268413,0.0117972340734333,0.0392168855724438,0.440736640936337,0.161375643084598,0.783315354900464
"MMS19","blue","MMS19","MMS19",2,"N","MMS19",0.202020345869577,0.0769923882694573,0.72994660464495,0.329936602157983,0.609858383140478,0.516158236694674,0.280185107148874,0.540690806893692,0.156855080631764,0.119988652720017
"MMS22L","turquoise","MMS22L","MMS22L",2,"N","MMS22L",0.36155067758675,0.00147597303050195,0.292467364600328,0.264369153246289,0.436733465239292,0.228588122995431,0.027973463532377,0.0261084401470254,0.48536923632263,4.53199431758206e-05
"MMUT","turquoise","MMUT","MMUT",2,"N","MMUT",0.706347978199099,0.870271966578096,0.183184489605674,0.949479263939433,0.736976857753689,0.441925726007389,0.764554780965423,0.454402913716785,0.675782718180299,0.843465420712214
"MN1","blue","MN1","MN1",2,"N","MN1",0.738330011935075,0.120238796837096,0.782593552368457,0.983123990222182,0.860512040216971,0.278743976673625,0.998056132716657,0.0330848103618465,0.186688066249642,0.126490718107842
"MNAT1","green","MNAT1","MNAT1",3,"N","MNAT1",0.248647808757896,0.131295356251841,0.0187183898287781,0.746200586856006,0.0143811157405546,0.00839089392643298,0.345524334817068,0.560876390723435,0.853586639562451,0.636748563740706
"MND1","turquoise","MND1","MND1",3,"N","MND1",0.617640366716745,0.0725701291312231,0.0593842630295812,0.271996984156077,0.516021433391817,0.904005316270378,0.0467506424569523,0.0708836030371891,0.184391551353158,0.00388476141277029
"MNS1","turquoise","MNS1","MNS1",2,"N","MNS1",0.162513400690801,0.172057187537589,0.127503957750382,0.87139369868418,0.348112098322473,0.899012949630556,0.402998368831599,0.430979653064811,0.654824360420006,0.0222764699451618
"MNT","blue","MNT","MNT",2,"N","MNT",0.127575480650885,0.00587956878684583,0.454262123576527,0.879584182095571,0.100940992131434,0.107054320818535,0.0585520267395294,0.567147402925764,0.227457713863411,0.0102267439300006
"MOB1A","blue","MOB1A","MOB1A",3,"N","MOB1A",0.445110822922811,6.06007111728923e-05,0.370694671031395,0.745646543086462,0.252863134830529,0.0902929658881703,0.0432762484981409,0.61111819944972,0.778015280096134,0.000883569506773889
"MOB1B","grey60","MOB1B","MOB1B",2,"N","MOB1B",0.387728350632201,0.22380734419799,0.39164711177397,0.27267346277502,0.382595163319009,0.0295046400302265,0.275235385733912,0.228899256309911,0.237743102687482,0.26286259038617
"MOB2","green","MOB2","MOB2",2,"N","MOB2",0.407158475150328,0.477575848351133,0.0257342933571153,0.563995403533266,0.0185757351353394,0.0949761159178235,0.283232365853191,0.892835414028612,0.626629835846325,0.972533841680295
"MOB3A","midnightblue","MOB3A","MOB3A",3,"N","MOB3A",0.401036428503554,0.0123966421345704,0.488016985805762,0.717487395476766,0.230343086419398,0.226364696786048,0.00176259966839912,0.905601844329902,0.599143587708176,0.01466970641321
"MOB3B","turquoise","MOB3B","MOB3B",2,"N","MOB3B",0.30190851368498,0.0406038720537561,0.942215253382019,0.0273674836834469,0.0884536827302974,0.172896005750107,0.000542190018312419,0.490854381135696,0.479904459059258,0.0812094823326481
"MOB3C","salmon","MOB3C","MOB3C",2,"N","MOB3C",0.889638174907817,0.587396435759194,0.958257779419342,0.169078757618929,0.748157080103863,0.844113623657459,0.994866565799996,0.146694902517716,0.00304513977099911,0.590278107233891
"MOCOS","brown","MOCOS","MOCOS",2,"N","MOCOS",0.0354215041325471,0.837538064754257,7.58556569975246e-05,0.843029433416423,0.000270972632978363,0.00522657831180403,0.120757657432979,0.432358798935568,0.696952498004352,0.438531993356856
"MOCS1","brown","MOCS1","MOCS1",2,"N","MOCS1",0.0453624837316126,0.753701755339183,0.0163642616348465,0.130477914135348,0.00728331859001172,0.0464623811017558,0.13046334053542,0.73142904257731,0.327972513084837,0.692307504028351
"MOCS3","brown","MOCS3","MOCS3",3,"N","MOCS3",0.553925298950866,0.310789706097569,0.374355979567422,0.960322649312319,0.890863938343669,0.932328074902551,0.985353993765014,0.86149509856824,0.339578926745652,0.393559801642173
"MOGAT1","turquoise","MOGAT1","MOGAT1",3,"N","MOGAT1",0.173172443164372,0.0615967009155832,0.944676238390947,0.463102707718153,0.797309116074067,0.173708449884337,0.57199484567091,0.0757508921503356,0.0472993075828944,0.0711453622308111
"MOGAT2","brown","MOGAT2","MOGAT2",3,"N","MOGAT2",0.734870724912868,0.667510621023392,0.00244605020197825,0.854025608649252,0.517482946818304,0.273362771435451,0.843084895789222,0.784524759298395,0.608656390987631,0.319454256363116
