"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"LOC113991622","black","VTG3","VTG3",3,"Y","LOC113991622/VTG3",0.427429106002445,-0.373926012586277,-0.0125063564497351,0.319318482824647,-0.381069062920997,0.195369891575377,-0.0610816061329145,0.350455110070083,0.31503913507324,0.148502650198015
"LOC113991627","green","LOC113991627","LOC113991627",1,"N","LOC113991627",0.035840058664274,-0.107835415788573,-0.190011400163044,0.375050487268012,0.225253724667813,-0.00739032074208595,0.222369959853891,0.0848929527723525,0.278728907934041,0.053648358966652
"LOC113991630","turquoise","VIT2","LOC113991630",1,"Y","LOC113991630/VIT2",-0.0967403262203998,-0.291729403449615,-0.339495403451452,0.210316761932651,0.376249558192264,-0.0330541218104047,0.285364634218529,-0.173765998030305,-0.447455412514901,0.295951395493026
"LOC113991637","blue","LOC113991637","LOC113991637",1,"N","LOC113991637",-0.12361441430045,0.366735917337328,0.109818788093438,0.158660286947849,0.220666720949444,-0.189630302063948,0.150242563336614,-0.0362514266893281,0.0548716767427228,-0.325369354530882
"LOC113991645","turquoise",NA,NA,NA,NA,"LOC113991645",-0.666683048465491,0.00345640927327386,0.0998342104478308,-0.394822447519847,0.148331630997199,-0.0112451309768624,-0.214364755114816,-0.450503206355391,-0.0845514912118953,0.204930865241505
"LOC113991653","brown","VARS2","VARS2",2,"Y","LOC113991653/VARS2",0.0246330414461116,0.139394038454776,0.350742622696019,0.0915912350939025,-0.268974114192324,0.27458512437901,-0.101655122623718,0.0883170108614971,0.319514435281471,-0.14260770255916
"LOC113991656","green",NA,NA,NA,NA,"LOC113991656",-0.188202260457987,0.301425742405194,-0.415153226676915,-0.405004202705024,0.544429733757915,-0.467227657588158,-0.0393360466818568,-0.0823814418338028,0.188949005328363,-0.0758998817491977
"LOC113991663","turquoise",NA,NA,NA,NA,"LOC113991663",0.0707902439276849,-0.690603303855719,-0.0160384573354854,0.0853928525781061,-0.425592438270777,0.336915723202545,-0.366305841711892,0.0598544456120623,0.0932052661927914,0.510836460813353
"LOC113991665","turquoise",NA,NA,NA,NA,"LOC113991665",0.253566649339749,-0.389735761730996,-0.305390224078072,0.0431622676257866,-0.144402274006133,0.073033468262091,-0.224197658361634,0.0631905043775342,0.107490283184025,0.356733318266512
"LOC113991666","green",NA,NA,NA,NA,"LOC113991666",-0.247572567857288,0.289582449851238,-0.293714180260488,-0.208214774530683,0.568276075774379,-0.367111296707683,0.320209457328581,-0.392816857533828,-0.357229850437996,-0.0860579447898496
"LOC113991667","turquoise",NA,NA,NA,NA,"LOC113991667",-0.100927443174708,-0.227584849409747,-0.152578613660654,0.173473798548603,-0.144975147400576,0.108201622073027,0.0727019843414172,-0.124922025255529,0.0424405803012232,0.269274230184571
"LOC113991668","turquoise",NA,NA,NA,NA,"LOC113991668",-0.351174654921775,-0.0666854905258275,-0.19751446595417,-0.23709899283367,0.346640775706095,-0.0767961680950717,-0.179520556563598,-0.290060990863499,-0.2755533221363,0.280854499362162
"LOC113991669","turquoise",NA,NA,NA,NA,"LOC113991669",-0.569312608731602,-0.216338571341114,0.0843947783836964,-0.179541834829785,0.153457272806103,0.10740052629478,0.0146277142961691,-0.397031688897048,0.0691690971184293,0.224476138408967
"LOC113991673","turquoise","LOC113991673","LOC113991673",1,"N","LOC113991673",0.18165253036559,-0.583937391176128,0.0147440371249112,-0.0724687932357009,-0.347637146556338,0.56481952306417,-0.559144272082311,-0.480004003366932,-0.383461939074211,0.613754459129473
"LOC113991674","turquoise",NA,NA,NA,NA,"LOC113991674",-0.0530986322254974,-0.643971950065032,-0.323358362804955,-0.426690536712509,-0.0532643279900337,0.275955411598233,-0.451404111421954,-0.534242631337667,-0.338715622246649,0.716540759248923
"LOC113991675","turquoise","LOC113991675","LOC113991675",1,"N","LOC113991675",-0.288869471148476,-0.396833150861648,0.023935476937386,-0.089742931133178,-0.175810843215449,0.21649541016504,0.0181187554151536,-0.161320262385736,-0.222301477490815,0.390489635428657
