"","MEcyan","MEmediumpurple3","MEblack","MEdarkturquoise","MEhoneydew1","MEplum1","MEdarkgrey","MEsienna3","MEyellowgreen","MEnavajowhite2","MEyellow","MEpaleturquoise","MEbisque4","MEdarkmagenta","MEdarkseagreen4","MEpurple","MEtan","MEivory","MEviolet","MEdarkolivegreen","MEdarkorange2","MEgrey"
"PFT11_AI_run1",0.0462229329995298,0.190248825761851,0.0829738572640511,-0.0152669175487707,0.0637743676983508,0.0377088044550644,0.137126669005625,0.209489994096789,-0.151664567806787,-0.103106084487918,-0.132164491652726,-0.0765566718776699,0.0511934867952101,-0.0531397401118377,-0.0371693890958339,-0.0856209227317337,-0.173351540829314,-0.148381031019562,-0.0111500920961264,-0.0329232031236503,0.0114449942131957,-0.0634531144054449
"PFT11_BSTm_run2",-0.076092833434163,-0.0572661499359403,-0.118170693005092,-0.154706681144779,-0.0127785115908663,-0.0416628222612522,0.0483902556345786,-0.0156441901441243,0.0616540960114546,0.00692928317342032,0.0154726603719608,0.107519626349098,0.058552631722265,0.0522021500955633,-0.00974722638684703,-0.0540124333364073,-0.0359252137952234,0.0359427281785746,-0.0205778037679045,0.0342266404375773,0.0178180128902508,-0.0672258131304184
"PFT11_GCT_run1",0.0752235162227601,0.0343268488495483,0.130906643140864,-0.025671673462247,-0.0591440619136641,-0.00269250836858292,-0.0905668207820599,-0.0799261874068267,-0.0324554821215415,-0.0745431641767868,-0.0216693531429292,-0.0824311268595476,-0.169434992177745,-0.0553610879468975,0.123828503911891,0.168633663620786,0.0742123985514346,0.0632306691832408,0.12898910557022,0.0182041022166744,0.10220890306375,-0.0813750977409734
"PFT11_ICO_run2",0.0589576182679423,0.0305063221317948,0.0257202298204332,-0.179820825231922,-0.0192683094555991,-0.0353307565198376,-0.0308262229925615,-0.076285182231384,-0.00168566324485524,-0.0622108571888888,-0.111461093005965,0.109767690569603,-0.125732713083461,-0.051062521442123,0.249494521161447,0.100103234389846,0.0390628803608546,0.158122166250889,0.177150471488185,0.0710148261145772,0.0783754907676401,-0.0999510862649734
"PFT11_LS_run2",-0.245528506398438,-0.233550880616544,-0.0502416176181899,-0.00270775582388557,0.0308133411740247,-0.035652894530652,0.201451106204621,-0.0329340814571653,0.168284546930244,-0.117222264409566,-0.063472170217392,0.152962827128711,0.114882356686326,0.301698056546113,0.0130879704276447,-0.105774228013135,-0.130117795029534,0.0202075038829217,0.0540795935168813,0.0754224892717974,0.0251829568690925,-0.0670126711819823
"PFT11_POM_run1",0.00806958873486513,-0.0355919183851572,-0.102134533669952,-0.0735708344200871,0.00502431665777953,-0.0344950563853767,-0.0803761302135261,-0.0312422895988674,0.0820549429044407,0.136034202936448,0.074093168864162,-0.0337349399381309,0.0537093178365367,-0.0183111835961688,-0.0583402721861033,-0.0120056858062465,0.0829896437358585,-0.0304963549867943,-0.140262180625527,0.074234236665927,0.118305057328615,-0.0956244494695892
"PFT11_PVN_run2",0.0444554219216826,-0.0196604431397401,-0.0562828379912921,0.0516760625988259,0.00619362938937049,-0.0409612301248999,-0.0972420339433438,-0.0412043567883403,0.0501089202707186,0.120947395577598,0.142733277389133,-0.0406741055294375,0.0138901545269247,-0.0404715746693735,-0.0319700561255471,-0.0103857594929215,0.100837914620194,-0.00818198125118194,-0.11386806390404,0.0104057316704437,0.156133573864139,-0.0527331289184069
"PFT11_TNA_run1",-0.0936826873951198,0.0790339349942337,0.102537096025634,0.118228979792034,0.0321272223328005,0.333032209835718,0.10395398074682,0.158314954401497,-0.18032501591761,-0.13360138644117,-0.109403103701431,-0.0759033728967273,-0.0116232479148015,0.0546815613598138,-0.0737866860128689,-0.0609302599406795,-0.139483779190149,-0.111960655634111,-9.59031970955117e-05,0.100161697049238,0.0732596963064416,-0.104407213062416
"PFT11_VMH_run1",0.066632638541466,0.0236022258515276,-0.0786681973762284,-0.125493672867819,0.0117224109441739,-0.0439366642083539,-0.0477788142058913,0.0175388949021307,0.0250359893138756,0.127107861761568,0.055707542259562,-0.054892077675909,0.063022707099461,-0.0522398383823589,-0.0380221149479046,-0.0274433080608698,0.0272303149409316,-0.0576712318425829,-0.120426619949022,0.0418762039260733,0.0932853175291337,-0.0933578619778026
"PFT12_AH_run2",0.0690733140362852,0.0307206272833026,0.00809381639755649,0.0219334648124199,-0.0787176546568042,-0.0309596189794108,-0.0636766943993972,-0.0205317549838744,0.0200306376915688,0.0455239364940883,-0.0810627303637233,-0.0854288710459062,-0.0117087736896301,-0.0456529819605049,-0.0279425284727133,0.0695886456923629,0.0472016152577397,-0.0213924456671656,-0.0477067550052965,-0.0388036346090709,0.0859371241461296,-0.12121650580796
"PFT12_AI_run1",0.05713259053185,0.198965127455097,0.0829053948847768,0.076872059434091,0.0203550884730471,0.0263717813388844,0.133541243687912,0.227824180117255,-0.160684540787411,-0.0985152469859942,-0.126433786471982,-0.111699822904198,0.0809163810292705,-0.0664629046767257,-0.0487548131825757,-0.111233635961396,-0.178373262807953,-0.18529051300913,-0.0578560289414214,-0.102955854043992,0.0238504553476971,-0.130434735652016
"PFT12_BSTm_run2",-0.0933066172352288,-0.0826337259169399,-0.0955908326063906,-0.0538204070981424,-0.0613111422968959,-0.0334462580571301,0.0550866366481709,-0.0170491283044439,0.0725742781755349,-0.00408168060982415,0.0334547028633958,0.0508317817012052,0.0707186659331403,0.099216857562206,-0.0190769706271926,-0.0580444327024193,-0.0338378929975557,0.00398798230358729,-0.0400327696656,-0.000765293903769033,0.0239448652283792,-0.12017489873462
